transcript,Ensembl_transcript_ID,Ensembl_gene_ID,Ensembl_gene_symbol
PB2015.16392.12,ENST00000380087,ENSG00000102054,RBBP7
PB2015.4999.1,ENST00000359232,ENSG00000197119,SLC25A29
PB2015.4999.2,ENST00000554912,ENSG00000197119,SLC25A29
PB2015.4999.3,ENST00000359232,ENSG00000197119,SLC25A29
PB2015.4999.4,ENST00000554912,ENSG00000197119,SLC25A29
PB2015.16574.1,ENST00000587304,ENSG00000267221,C17orf113
PB2015.4280.1,ENST00000025301,ENSG00000023516,AKAP11
PB2015.15070.1,ENST00000297324,ENSG00000164743,C8orf48
PB2015.8349.15,ENST00000409587,ENSG00000105223,PLD3
PB2015.12849.1,ENST00000614352,ENSG00000163328,GPR155
PB2015.5547.2,ENST00000450735,ENSG00000103942,HOMER2
PB2015.15283.1,ENST00000555870,ENSG00000151338,MIPOL1
PB2015.5547.1,ENST00000304231,ENSG00000103942,HOMER2
PB2015.13512.4,ENST00000421553,ENSG00000197062,ZSCAN26
PB2015.13512.1,ENST00000316606,ENSG00000197062,ZSCAN26
PB2015.13512.2,ENST00000421553,ENSG00000197062,ZSCAN26
PB2015.13512.3,ENST00000421553,ENSG00000197062,ZSCAN26
PB2015.16542.1,ENST00000374690,ENSG00000169083,AR
PB2015.16542.2,ENST00000374690,ENSG00000169083,AR
PB2015.5789.3,ENST00000407558,ENSG00000122390,NAA60
PB2015.12018.1,ENST00000040738,ENSG00000038219,BOD1L1
PB2015.3449.3,ENST00000344862,ENSG00000129317,PUS7L
PB2015.2842.9,ENST00000393979,ENSG00000239306,RBM14
PB2015.1791.1,ENST00000440449,ENSG00000148488,ST8SIA6
PB2015.11705.1,ENST00000461804,ENSG00000163660,CCNL1
PB2015.11705.2,ENST00000295926,ENSG00000163660,CCNL1
PB2015.11705.3,ENST00000295926,ENSG00000163660,CCNL1
PB2015.11705.4,ENST00000295926,ENSG00000163660,CCNL1
PB2015.11705.5,ENST00000295926,ENSG00000163660,CCNL1
PB2015.11705.6,ENST00000295926,ENSG00000163660,CCNL1
PB2015.11705.7,ENST00000295926,ENSG00000163660,CCNL1
PB2015.11705.8,ENST00000295926,ENSG00000163660,CCNL1
PB2015.11705.9,ENST00000295926,ENSG00000163660,CCNL1
PB2015.1030.1,ENST00000271620,ENSG00000143363,PRUNE1
PB2015.7144.2,ENST00000393021,ENSG00000108443,RPS6KB1
PB2015.1030.3,ENST00000368934,ENSG00000143363,PRUNE1
PB2015.1030.2,ENST00000271620,ENSG00000143363,PRUNE1
PB2015.1560.1,ENST00000340020,ENSG00000186063,AIDA
PB2015.1030.4,ENST00000271620,ENSG00000143363,PRUNE1
PB2015.1030.7,ENST00000368935,ENSG00000143363,PRUNE1
PB2015.1030.6,ENST00000271620,ENSG00000143363,PRUNE1
PB2015.1030.9,ENST00000368935,ENSG00000143363,PRUNE1
PB2015.2842.3,ENST00000409406,ENSG00000173933,RBM4
PB2015.12855.1,ENST00000632581,ENSG00000164300,SERINC5
PB2015.12855.3,ENST00000507668,ENSG00000164300,SERINC5
PB2015.12855.2,ENST00000507668,ENSG00000164300,SERINC5
PB2015.12855.4,ENST00000256117,ENSG00000133740,E2F5
PB2015.292.1,ENST00000398958,ENSG00000180198,RCC1
PB2015.1020.2,ENST00000369014,ENSG00000143420,ENSA
PB2015.1020.3,ENST00000369014,ENSG00000143420,ENSA
PB2015.1020.1,ENST00000369014,ENSG00000143420,ENSA
PB2015.1020.6,ENST00000362052,ENSG00000143420,ENSA
PB2015.1020.4,ENST00000369014,ENSG00000143420,ENSA
PB2015.1020.5,ENST00000271690,ENSG00000143420,ENSA
PB2015.3036.11,ENST00000526033,ENSG00000073921,PICALM
PB2015.3036.10,ENST00000532317,ENSG00000073921,PICALM
PB2015.3036.13,ENST00000532317,ENSG00000073921,PICALM
PB2015.3036.12,ENST00000526033,ENSG00000073921,PICALM
PB2015.9049.1,ENST00000410075,ENSG00000075292,ZNF638
PB2015.9049.3,ENST00000327813,ENSG00000183762,KREMEN1
PB2015.9049.2,ENST00000264447,ENSG00000075292,ZNF638
PB2015.1698.1,ENST00000329291,ENSG00000185220,PGBD2
PB2015.1698.3,ENST00000355360,ENSG00000185220,PGBD2
PB2015.1698.2,ENST00000355360,ENSG00000185220,PGBD2
PB2015.12223.1,ENST00000295888,ENSG00000163625,WDFY3
PB2015.11719.1,ENST00000334256,ENSG00000186432,KPNA4
PB2015.40.7,ENST00000610897,ENSG00000078369,GNB1
PB2015.9818.1,ENST00000336665,ENSG00000157985,AGAP1
PB2015.13198.2,ENST00000420343,ENSG00000155868,MED7
PB2015.13198.3,ENST00000286317,ENSG00000155868,MED7
PB2015.13198.1,ENST00000286317,ENSG00000155868,MED7
PB2015.12303.2,ENST00000399100,ENSG00000138802,SEC24B
PB2015.7289.1,ENST00000583590,ENSG00000198231,DDX42
PB2015.9720.1,ENST00000248450,ENSG00000127837,AAMP
PB2015.9720.2,ENST00000248450,ENSG00000127837,AAMP
PB2015.14890.2,ENST00000330387,ENSG00000182158,CREB3L2
PB2015.947.1,ENST00000615281,ENSG00000263956,NBPF11
PB2015.14890.1,ENST00000330387,ENSG00000182158,CREB3L2
PB2015.9055.2,ENST00000234454,ENSG00000116096,SPR
PB2015.9055.1,ENST00000234454,ENSG00000116096,SPR
PB2015.11415.10,ENST00000265260,ENSG00000081154,PCNP
PB2015.12233.2,ENST00000264346,ENSG00000138642,HERC6
PB2015.16461.2,ENST00000377107,ENSG00000102226,USP11
PB2015.16461.3,ENST00000377107,ENSG00000102226,USP11
PB2015.16461.4,ENST00000377107,ENSG00000102226,USP11
PB2015.5817.1,ENST00000262376,ENSG00000118900,UBN1
PB2015.5817.2,ENST00000262376,ENSG00000118900,UBN1
PB2015.13225.1,ENST00000555870,ENSG00000151338,MIPOL1
PB2015.6488.1,ENST00000397195,ENSG00000007168,PAFAH1B1
PB2015.11415.11,ENST00000265260,ENSG00000081154,PCNP
PB2015.768.2,ENST00000356970,ENSG00000121940,CLCC1
PB2015.768.1,ENST00000369968,ENSG00000121940,CLCC1
PB2015.4673.4,ENST00000341590,ENSG00000073712,FERMT2
PB2015.4673.3,ENST00000341590,ENSG00000073712,FERMT2
PB2015.4673.2,ENST00000395631,ENSG00000073712,FERMT2
PB2015.4673.1,ENST00000341590,ENSG00000073712,FERMT2
PB2015.5057.1,ENST00000447393,ENSG00000179364,PACS2
PB2015.2256.10,ENST00000405356,ENSG00000166197,NOLC1
PB2015.2327.19,ENST00000372755,ENSG00000035403,VCL
PB2015.2327.18,ENST00000439649,ENSG00000151892,GFRA1
PB2015.2816.1,ENST00000312397,ENSG00000175467,SART1
PB2015.4381.1,ENST00000438724,ENSG00000139746,RBM26
PB2015.13670.6,ENST00000229812,ENSG00000112079,STK38
PB2015.4381.3,ENST00000438724,ENSG00000139746,RBM26
PB2015.13670.4,ENST00000229812,ENSG00000112079,STK38
PB2015.13670.3,ENST00000229812,ENSG00000112079,STK38
PB2015.5700.1,ENST00000375856,ENSG00000185950,IRS2
PB2015.13670.1,ENST00000229812,ENSG00000112079,STK38
PB2015.5109.1,ENST00000342314,ENSG00000215252,GOLGA8B
PB2015.13239.1,ENST00000373232,ENSG00000180817,PPA1
PB2015.8998.1,ENST00000358912,ENSG00000197329,PELI1
PB2015.2912.20,ENST00000301843,ENSG00000085733,CTTN
PB2015.2912.21,ENST00000346329,ENSG00000085733,CTTN
PB2015.2912.22,ENST00000346329,ENSG00000085733,CTTN
PB2015.2912.23,ENST00000301843,ENSG00000085733,CTTN
PB2015.13657.6,ENST00000322203,ENSG00000198755,RPL10A
PB2015.13657.7,ENST00000322203,ENSG00000198755,RPL10A
PB2015.13657.4,ENST00000322203,ENSG00000198755,RPL10A
PB2015.13657.5,ENST00000322203,ENSG00000198755,RPL10A
PB2015.13657.2,ENST00000322203,ENSG00000198755,RPL10A
PB2015.13657.3,ENST00000322203,ENSG00000198755,RPL10A
PB2015.13657.1,ENST00000322203,ENSG00000198755,RPL10A
PB2015.13657.8,ENST00000322203,ENSG00000198755,RPL10A
PB2015.13657.9,ENST00000322203,ENSG00000198755,RPL10A
PB2015.301.1,ENST00000373795,ENSG00000116350,SRSF4
PB2015.9378.2,ENST00000427024,ENSG00000173272,MZT2A
PB2015.12198.1,ENST00000315567,ENSG00000169288,MRPL1
PB2015.6082.5,ENST00000297679,ENSG00000099377,HSD3B7
PB2015.12198.3,ENST00000315567,ENSG00000169288,MRPL1
PB2015.12198.2,ENST00000315567,ENSG00000169288,MRPL1
PB2015.4628.3,ENST00000396062,ENSG00000100442,FKBP3
PB2015.4628.2,ENST00000396062,ENSG00000100442,FKBP3
PB2015.4628.1,ENST00000396062,ENSG00000100442,FKBP3
PB2015.4628.5,ENST00000557324,ENSG00000100442,FKBP3
PB2015.4628.4,ENST00000396062,ENSG00000100442,FKBP3
PB2015.15521.1,ENST00000297632,ENSG00000164983,TMEM65
PB2015.14249.1,ENST00000223145,ENSG00000106415,GLCCI1
PB2015.1765.1,ENST00000378757,ENSG00000123240,OPTN
PB2015.1765.2,ENST00000378747,ENSG00000123240,OPTN
PB2015.1765.3,ENST00000263036,ENSG00000123240,OPTN
PB2015.1765.4,ENST00000378757,ENSG00000123240,OPTN
PB2015.1765.5,ENST00000378757,ENSG00000123240,OPTN
PB2015.1765.6,ENST00000378757,ENSG00000123240,OPTN
PB2015.1765.7,ENST00000263036,ENSG00000123240,OPTN
PB2015.1765.8,ENST00000378748,ENSG00000123240,OPTN
PB2015.1765.9,ENST00000378757,ENSG00000123240,OPTN
PB2015.14549.3,ENST00000265361,ENSG00000075223,SEMA3C
PB2015.10208.4,ENST00000372004,ENSG00000124151,NCOA3
PB2015.2116.1,ENST00000343959,ENSG00000188100,FAM25A
PB2015.4523.5,ENST00000313250,ENSG00000157326,DHRS4
PB2015.4996.10,ENST00000402714,ENSG00000196405,EVL
PB2015.6516.1,ENST00000293778,ENSG00000161921,CXCL16
PB2015.7631.2,ENST00000217740,ENSG00000101695,RNF125
PB2015.6516.2,ENST00000574412,ENSG00000161921,CXCL16
PB2015.1381.3,ENST00000367409,ENSG00000066279,ASPM
PB2015.10375.8,ENST00000370053,ENSG00000197457,STMN3
PB2015.9898.4,ENST00000380469,ENSG00000215305,VPS16
PB2015.1646.8,ENST00000349213,ENSG00000054267,ARID4B
PB2015.1646.9,ENST00000349213,ENSG00000054267,ARID4B
PB2015.1646.4,ENST00000366603,ENSG00000054267,ARID4B
PB2015.1646.5,ENST00000421364,ENSG00000054267,ARID4B
PB2015.1646.6,ENST00000349213,ENSG00000054267,ARID4B
PB2015.1646.7,ENST00000366603,ENSG00000054267,ARID4B
PB2015.1646.1,ENST00000366603,ENSG00000054267,ARID4B
PB2015.1646.2,ENST00000421364,ENSG00000054267,ARID4B
PB2015.1646.3,ENST00000366603,ENSG00000054267,ARID4B
PB2015.16030.1,ENST00000412145,ENSG00000070159,PTPN3
PB2015.8321.9,ENST00000221419,ENSG00000104824,HNRNPL
PB2015.8321.8,ENST00000388749,ENSG00000104824,HNRNPL
PB2015.8321.7,ENST00000221419,ENSG00000104824,HNRNPL
PB2015.8321.6,ENST00000221419,ENSG00000104824,HNRNPL
PB2015.8321.5,ENST00000221419,ENSG00000104824,HNRNPL
PB2015.8321.4,ENST00000221419,ENSG00000104824,HNRNPL
PB2015.8321.3,ENST00000221419,ENSG00000104824,HNRNPL
PB2015.8321.2,ENST00000221419,ENSG00000104824,HNRNPL
PB2015.8321.1,ENST00000221419,ENSG00000104824,HNRNPL
PB2015.9998.1,ENST00000377103,ENSG00000178726,THBD
PB2015.556.6,ENST00000371108,ENSG00000088035,ALG6
PB2015.9353.2,ENST00000259253,ENSG00000136731,UGGT1
PB2015.556.4,ENST00000371108,ENSG00000088035,ALG6
PB2015.556.5,ENST00000371108,ENSG00000088035,ALG6
PB2015.9353.7,ENST00000259253,ENSG00000136731,UGGT1
PB2015.9353.6,ENST00000376723,ENSG00000136731,UGGT1
PB2015.9353.5,ENST00000259253,ENSG00000136731,UGGT1
PB2015.9353.4,ENST00000259253,ENSG00000136731,UGGT1
PB2015.7848.1,ENST00000335312,ENSG00000186111,PIP5K1C
PB2015.12996.3,ENST00000379516,ENSG00000205302,SNX2
PB2015.766.1,ENST00000575801,ENSG00000167693,NXN
PB2015.15903.1,ENST00000388712,ENSG00000135052,GOLM1
PB2015.16334.1,ENST00000568584,ENSG00000261456,TUBB8
PB2015.16334.3,ENST00000564130,ENSG00000261456,TUBB8
PB2015.16334.2,ENST00000564130,ENSG00000261456,TUBB8
PB2015.16334.5,ENST00000564130,ENSG00000261456,TUBB8
PB2015.16334.4,ENST00000568584,ENSG00000261456,TUBB8
PB2015.16334.6,ENST00000564130,ENSG00000261456,TUBB8
PB2015.5627.3,ENST00000394166,ENSG00000185551,NR2F2
PB2015.11223.1,ENST00000418109,ENSG00000172037,LAMB2
PB2015.5627.1,ENST00000394166,ENSG00000185551,NR2F2
PB2015.12396.1,ENST00000513000,ENSG00000109452,INPP4B
PB2015.5627.6,ENST00000453270,ENSG00000185551,NR2F2
PB2015.5627.5,ENST00000453270,ENSG00000185551,NR2F2
PB2015.5627.4,ENST00000394171,ENSG00000185551,NR2F2
PB2015.10136.7,ENST00000373030,ENSG00000101052,IFT52
PB2015.12996.7,ENST00000379516,ENSG00000205302,SNX2
PB2015.10136.5,ENST00000373030,ENSG00000101052,IFT52
PB2015.10136.4,ENST00000373030,ENSG00000101052,IFT52
PB2015.14080.1,ENST00000367411,ENSG00000186625,KATNA1
PB2015.5047.1,ENST00000342537,ENSG00000179627,ZBTB42
PB2015.14080.3,ENST00000335647,ENSG00000186625,KATNA1
PB2015.14080.2,ENST00000367411,ENSG00000186625,KATNA1
PB2015.14611.2,ENST00000289495,ENSG00000158528,PPP1R9A
PB2015.3346.1,ENST00000396424,ENSG00000197497,ZNF665
PB2015.8649.1,ENST00000317178,ENSG00000152443,ZNF776
PB2015.8649.2,ENST00000317178,ENSG00000152443,ZNF776
PB2015.8649.3,ENST00000317178,ENSG00000152443,ZNF776
PB2015.11223.4,ENST00000305544,ENSG00000172037,LAMB2
PB2015.463.7,ENST00000350030,ENSG00000132780,NASP
PB2015.463.6,ENST00000350030,ENSG00000132780,NASP
PB2015.463.5,ENST00000351223,ENSG00000132780,NASP
PB2015.463.4,ENST00000350030,ENSG00000132780,NASP
PB2015.463.3,ENST00000537798,ENSG00000132780,NASP
PB2015.463.2,ENST00000351223,ENSG00000132780,NASP
PB2015.463.1,ENST00000537798,ENSG00000132780,NASP
PB2015.5047.4,ENST00000342537,ENSG00000179627,ZBTB42
PB2015.463.9,ENST00000351223,ENSG00000132780,NASP
PB2015.463.8,ENST00000350030,ENSG00000132780,NASP
PB2015.360.1,ENST00000373204,ENSG00000092847,AGO1
PB2015.10852.3,ENST00000420879,ENSG00000187051,RPS19BP1
PB2015.14483.6,ENST00000339594,ENSG00000009954,BAZ1B
PB2015.14483.7,ENST00000339594,ENSG00000009954,BAZ1B
PB2015.14483.4,ENST00000339594,ENSG00000009954,BAZ1B
PB2015.14483.5,ENST00000339594,ENSG00000009954,BAZ1B
PB2015.14483.2,ENST00000339594,ENSG00000009954,BAZ1B
PB2015.14483.3,ENST00000339594,ENSG00000009954,BAZ1B
PB2015.14483.1,ENST00000404251,ENSG00000009954,BAZ1B
PB2015.15913.3,ENST00000375859,ENSG00000106723,SPIN1
PB2015.15913.2,ENST00000375859,ENSG00000106723,SPIN1
PB2015.15913.1,ENST00000375855,ENSG00000130045,NXNL2
PB2015.15913.5,ENST00000471841,ENSG00000171109,MFN1
PB2015.15913.4,ENST00000375859,ENSG00000106723,SPIN1
PB2015.14592.1,ENST00000233190,ENSG00000023228,NDUFS1
PB2015.9623.2,ENST00000357799,ENSG00000163535,SGO2
PB2015.9623.1,ENST00000357799,ENSG00000163535,SGO2
PB2015.11220.1,ENST00000357496,ENSG00000198218,QRICH1
PB2015.5637.1,ENST00000452735,ENSG00000114473,IQCG
PB2015.13095.18,ENST00000394805,ENSG00000015479,MATR3
PB2015.13095.19,ENST00000361059,ENSG00000280987,MATR3
PB2015.7751.9,ENST00000324262,ENSG00000133313,CNDP2
PB2015.7751.8,ENST00000324262,ENSG00000133313,CNDP2
PB2015.7751.7,ENST00000324262,ENSG00000133313,CNDP2
PB2015.7751.6,ENST00000324262,ENSG00000133313,CNDP2
PB2015.7751.5,ENST00000579847,ENSG00000133313,CNDP2
PB2015.7751.4,ENST00000579847,ENSG00000133313,CNDP2
PB2015.7751.3,ENST00000324262,ENSG00000133313,CNDP2
PB2015.13095.15,ENST00000618441,ENSG00000015479,MATR3
PB2015.13095.16,ENST00000394805,ENSG00000015479,MATR3
PB2015.13095.17,ENST00000509990,ENSG00000280987,MATR3
PB2015.2644.6,ENST00000298838,ENSG00000165912,PACSIN3
PB2015.13493.1,ENST00000415922,ENSG00000181315,ZNF322
PB2015.548.1,ENST00000403491,ENSG00000162599,NFIA
PB2015.10876.1,ENST00000263256,ENSG00000100418,DESI1
PB2015.15652.1,ENST00000382389,ENSG00000172785,CBWD1
