transcript,Free_Energy
PB2015.847.1_36,-17.4
PB2015.847.1_39,-16.0
PB2015.847.1_38,-19.5
PB2015.2225.3_16,-21.9
PB2015.2225.3_14,-18.9
PB2015.2225.3_15,-19.2
PB2015.2225.3_12,-21.6
PB2015.2225.3_13,-16.3
PB2015.2225.3_10,-30.4
PB2015.2225.3_11,-22.3
PB2015.12350.1_5,-21.5
PB2015.2525.1_25,-6.8
PB2015.12350.1_7,-20.0
PB2015.12350.1_6,-21.6
PB2015.12350.1_1,-13.4
PB2015.12350.1_0,-15.6
PB2015.2525.1_22,-10.3
PB2015.12350.1_2,-16.4
PB2015.12350.1_9,-26.4
PB2015.12350.1_8,-26.5
PB2015.12059.3_77,-15.1
PB2015.473.3_49,-7.3
PB2015.12059.3_76,-15.4
PB2015.2668.1_113,-27.2
PB2015.2668.1_112,-30.8
PB2015.2668.1_111,-8.6
PB2015.2668.1_110,-5.2
PB2015.6414.2_1,-36.9
PB2015.3015.2_21,-13.3
PB2015.12059.3_74,-14.5
PB2015.13370.2_5,-20.5
PB2015.12059.3_73,-15.8
PB2015.3644.3_3,-13.8
PB2015.5066.4_3,-15.9
PB2015.12059.3_72,-17.5
PB2015.12059.3_71,-11.7
PB2015.830.1_1,-33.4
PB2015.830.1_0,-32.3
PB2015.12059.3_70,-21.4
PB2015.12208.2_8,-16.1
PB2015.15923.2_6,-16.4
PB2015.5108.5_79,-12.0
PB2015.15871.1_5,-30.7
PB2015.12208.2_9,-18.1
PB2015.16349.6_4,-7.7
PB2015.16349.6_5,-9.2
PB2015.15400.2_44,-12.3
PB2015.6029.3_13,-23.8
PB2015.3567.1_6,-21.6
PB2015.16349.6_1,-22.4
PB2015.16349.6_2,-17.5
PB2015.16349.6_3,-14.2
PB2015.5143.1_27,-34.9
PB2015.5984.1_9,-7.3
PB2015.5984.1_8,-25.7
PB2015.5143.1_26,-31.3
PB2015.5984.1_3,-31.9
PB2015.5984.1_2,-33.7
PB2015.5984.1_1,-31.6
PB2015.5984.1_0,-32.5
PB2015.5984.1_7,-27.0
PB2015.2154.1_26,-20.2
PB2015.5984.1_5,-27.0
PB2015.5984.1_4,-28.1
PB2015.5143.1_24,-24.0
PB2015.3010.4_18,-16.2
PB2015.3010.4_19,-10.9
PB2015.3010.4_14,-16.1
PB2015.3010.4_15,-22.9
PB2015.3010.4_16,-10.7
PB2015.3010.4_17,-11.8
PB2015.3010.4_10,-12.6
PB2015.3010.4_11,-3.7
PB2015.3010.4_12,-5.3
PB2015.2154.1_21,-25.6
PB2015.5143.1_21,-22.2
PB2015.14883.12_48,-10.2
PB2015.14883.12_49,-13.3
PB2015.14883.12_46,-17.1
PB2015.15871.1_8,-24.2
PB2015.14883.12_44,-18.8
PB2015.7582.1_14,-22.3
PB2015.14883.12_42,-15.3
PB2015.7582.1_12,-15.7
PB2015.14883.12_40,-20.4
PB2015.7582.1_10,-13.3
PB2015.2197.4_9,-23.6
PB2015.2197.4_8,-23.4
PB2015.2197.4_3,-41.3
PB2015.2197.4_2,-45.0
PB2015.2197.4_1,-32.2
PB2015.2197.4_0,-32.9
PB2015.2197.4_7,-23.7
PB2015.2197.4_6,-34.1
PB2015.2197.4_5,-30.9
PB2015.2197.4_4,-32.7
PB2015.15838.2_170,-14.1
PB2015.15838.2_171,-17.2
PB2015.15838.2_172,-16.0
PB2015.15838.2_173,-9.9
PB2015.15838.2_174,-8.5
PB2015.15838.2_175,-8.8
PB2015.15838.2_176,-11.3
PB2015.15838.2_177,-12.6
PB2015.15838.2_178,-10.1
PB2015.15838.2_179,-11.8
PB2015.274.1_9,-32.9
PB2015.7604.2_11,-9.1
PB2015.7604.2_10,-9.2
PB2015.7604.2_13,-16.6
PB2015.7604.2_12,-10.9
PB2015.7604.2_15,-17.1
PB2015.7604.2_14,-14.7
PB2015.7604.2_17,-13.2
PB2015.7604.2_16,-15.0
PB2015.10411.1_5,-23.3
PB2015.3332.1_14,-8.4
PB2015.3332.1_15,-6.2
PB2015.3332.1_12,-11.5
PB2015.3332.1_13,-8.4
PB2015.3332.1_10,-5.1
PB2015.3332.1_11,-10.8
PB2015.10411.1_4,-17.2
PB2015.12839.2_8,-12.4
PB2015.12839.2_9,-9.5
PB2015.12839.2_2,-23.4
PB2015.1022.5_10,-7.6
PB2015.12839.2_0,-28.8
PB2015.12839.2_1,-25.5
PB2015.12839.2_6,-14.2
PB2015.12839.2_7,-16.4
PB2015.6762.1_0,-20.6
PB2015.12839.2_5,-14.1
PB2015.3298.1_0,-35.5
PB2015.8617.1_7,-30.0
PB2015.3506.1_3,-9.4
PB2015.3506.1_2,-6.5
PB2015.3506.1_1,-8.7
PB2015.3506.1_0,-9.6
PB2015.3506.1_5,-4.0
PB2015.3506.1_4,-7.3
PB2015.3298.1_3,-25.2
PB2015.14167.5_19,-5.7
PB2015.12368.1_11,-10.3
PB2015.3683.1_15,-20.2
PB2015.3683.1_14,-23.0
PB2015.3683.1_17,-29.0
PB2015.3683.1_16,-25.5
PB2015.3683.1_11,-36.7
PB2015.3683.1_10,-30.6
PB2015.3683.1_13,-25.3
PB2015.1078.1_98,-19.1
PB2015.1078.1_97,-20.6
PB2015.1078.1_96,-15.3
PB2015.1078.1_95,-16.0
PB2015.1078.1_94,-10.2
PB2015.3683.1_19,-22.6
PB2015.3683.1_18,-29.6
PB2015.1078.1_91,-12.4
PB2015.1078.1_90,-25.0
PB2015.11554.1_10,-27.3
PB2015.11554.1_11,-26.8
PB2015.10804.1_31,-16.6
PB2015.10804.1_30,-12.3
PB2015.10804.1_33,-14.7
PB2015.10804.1_32,-16.6
PB2015.10804.1_35,-15.2
PB2015.10804.1_34,-17.4
PB2015.10804.1_37,-19.9
PB2015.10804.1_36,-18.2
PB2015.16124.1_6,-26.0
PB2015.16124.1_7,-28.4
PB2015.16124.1_4,-20.3
PB2015.16124.1_5,-21.2
PB2015.11455.1_29,-22.9
PB2015.11455.1_28,-16.5
PB2015.16124.1_0,-22.0
PB2015.16124.1_1,-19.2
PB2015.11455.1_25,-17.9
PB2015.11455.1_24,-16.3
PB2015.11455.1_27,-18.6
PB2015.11455.1_26,-21.8
PB2015.11455.1_21,-2.9
PB2015.11455.1_20,-3.3
PB2015.16124.1_8,-26.5
PB2015.16124.1_9,-20.6
PB2015.16642.9_59,-25.2
PB2015.16642.9_58,-16.1
PB2015.9824.30_13,-28.1
PB2015.6164.2_1,-24.8
PB2015.6164.2_0,-30.4
PB2015.3504.1_5,-10.2
PB2015.16642.9_50,-5.3
PB2015.16642.9_53,-12.8
PB2015.16642.9_52,-10.6
PB2015.16642.9_55,-23.9
PB2015.3504.1_0,-18.1
PB2015.16642.9_57,-31.3
PB2015.16642.9_56,-17.5
PB2015.5141.4_11,-24.0
PB2015.1972.1_62,-15.0
PB2015.5141.4_10,-23.3
PB2015.9786.1_3,-12.7
PB2015.8019.2_22,-29.6
PB2015.11490.1_10,-11.1
PB2015.9786.1_1,-6.3
PB2015.14567.2_4,-21.7
PB2015.14567.2_5,-21.0
PB2015.14567.2_6,-20.7
PB2015.3542.6_24,-12.0
PB2015.14567.2_0,-21.6
PB2015.14567.2_1,-17.5
PB2015.14567.2_2,-20.3
PB2015.1198.3_13,-18.4
PB2015.15746.2_10,-11.6
PB2015.15746.2_11,-13.5
PB2015.15746.2_12,-16.7
PB2015.15746.2_13,-12.8
PB2015.15746.2_14,-19.6
PB2015.14567.2_9,-37.1
PB2015.9786.1_6,-19.8
PB2015.13427.2_16,-13.6
PB2015.13427.2_17,-18.1
PB2015.13427.2_14,-24.1
PB2015.13427.2_15,-27.4
PB2015.13427.2_12,-26.6
PB2015.9786.1_5,-27.2
PB2015.13427.2_10,-24.5
PB2015.13427.2_11,-23.7
PB2015.3542.6_20,-15.9
PB2015.13427.2_18,-26.4
PB2015.14655.3_20,-13.4
PB2015.14655.3_21,-12.2
PB2015.14655.3_22,-4.0
PB2015.14655.3_23,-4.2
PB2015.14655.3_24,-11.0
PB2015.14655.3_25,-14.8
PB2015.15838.2_87,-15.2
PB2015.15838.2_86,-11.8
PB2015.15838.2_85,-9.0
PB2015.15838.2_84,-15.8
PB2015.15838.2_83,-14.1
PB2015.15838.2_82,-18.0
PB2015.9965.2_19,-11.8
PB2015.9965.2_18,-1.7
PB2015.9965.2_17,-6.8
PB2015.9965.2_16,-5.7
PB2015.9965.2_15,-6.5
PB2015.9965.2_14,-4.2
PB2015.9965.2_13,-6.7
PB2015.9965.2_12,-5.7
PB2015.15838.2_89,-14.4
PB2015.9965.2_10,-12.6
PB2015.16551.10_1,-4.8
PB2015.16551.10_0,-10.9
PB2015.14809.1_10,-5.8
PB2015.16096.1_1,-23.0
PB2015.16181.1_9,-19.2
PB2015.16181.1_8,-24.3
PB2015.16181.1_5,-28.2
PB2015.16181.1_4,-33.1
PB2015.16181.1_7,-27.8
PB2015.16181.1_6,-28.9
PB2015.16181.1_1,-29.2
PB2015.16181.1_0,-33.0
PB2015.16181.1_3,-32.3
PB2015.16181.1_2,-30.0
PB2015.2673.1_26,-16.1
PB2015.2673.1_27,-10.0
PB2015.2673.1_24,-18.6
PB2015.2673.1_25,-14.6
PB2015.2673.1_22,-19.6
PB2015.2673.1_23,-15.4
PB2015.2673.1_20,-7.7
PB2015.2673.1_21,-14.1
PB2015.3473.1_70,-18.3
PB2015.2673.1_28,-13.9
PB2015.2673.1_29,-15.3
PB2015.6460.1_9,-33.4
PB2015.6460.1_8,-26.7
PB2015.6460.1_1,-32.6
PB2015.6460.1_0,-36.0
PB2015.6460.1_3,-26.2
PB2015.6460.1_2,-25.2
PB2015.6460.1_5,-14.2
PB2015.6460.1_4,-19.1
PB2015.6205.1_13,-23.0
PB2015.6460.1_6,-20.0
PB2015.16808.1_5,-9.6
PB2015.16808.1_4,-28.5
PB2015.8820.1_46,-23.7
PB2015.11155.2_4,-28.7
PB2015.1733.3_14,-19.2
PB2015.11155.2_6,-28.3
PB2015.1733.3_16,-11.7
PB2015.1733.3_11,-13.3
PB2015.11155.2_1,-33.4
PB2015.11155.2_2,-29.0
PB2015.11155.2_3,-34.0
PB2015.16808.1_1,-36.8
PB2015.16498.2_2,-22.8
PB2015.1733.3_19,-23.4
PB2015.11155.2_9,-16.8
PB2015.16808.1_0,-29.2
PB2015.6294.2_5,-23.5
PB2015.6294.2_4,-23.1
PB2015.6294.2_7,-24.4
PB2015.6294.2_6,-23.1
PB2015.6294.2_1,-19.7
PB2015.6294.2_0,-10.3
PB2015.6294.2_3,-23.9
PB2015.6294.2_2,-22.3
PB2015.16808.1_2,-37.0
PB2015.4699.1_9,-34.9
PB2015.4699.1_8,-36.7
PB2015.4699.1_1,-28.9
PB2015.4699.1_0,-31.9
PB2015.4699.1_3,-34.5
PB2015.4699.1_2,-26.0
PB2015.4699.1_5,-18.5
PB2015.4699.1_4,-32.7
PB2015.4699.1_7,-25.2
PB2015.4699.1_6,-23.2
PB2015.13275.1_0,-24.8
PB2015.2766.7_306,-15.1
PB2015.2766.7_305,-29.0
PB2015.2766.7_304,-14.4
PB2015.2766.7_303,-13.2
PB2015.2766.7_302,-13.3
PB2015.2766.7_301,-18.5
PB2015.2766.7_300,-12.0
PB2015.2766.7_309,-4.0
PB2015.2766.7_308,-8.0
PB2015.15187.2_20,-22.1
PB2015.4096.3_39,-19.3
PB2015.15187.2_22,-26.7
PB2015.15187.2_23,-32.6
PB2015.15187.2_24,-33.9
PB2015.15187.2_25,-40.5
PB2015.15187.2_26,-28.1
PB2015.15187.2_27,-24.9
PB2015.15187.2_28,-20.0
PB2015.15187.2_29,-18.8
PB2015.15892.1_9,-28.4
PB2015.14588.11_38,-17.4
PB2015.14588.11_39,-20.2
PB2015.14588.11_30,-11.2
PB2015.14588.11_31,-10.9
PB2015.14588.11_32,-10.4
PB2015.14588.11_33,-9.9
PB2015.14588.11_34,-12.7
PB2015.14588.11_35,-13.9
PB2015.14588.11_36,-10.4
PB2015.14588.11_37,-14.7
PB2015.5364.2_23,-8.4
PB2015.5364.2_22,-8.4
PB2015.5364.2_21,-8.5
PB2015.5364.2_20,-11.0
PB2015.5364.2_27,-2.4
PB2015.5364.2_26,-3.5
PB2015.5364.2_25,-3.8
PB2015.5364.2_24,-4.8
PB2015.5364.2_29,-10.4
PB2015.5364.2_28,-7.1
PB2015.4399.3_58,-14.6
PB2015.4399.3_59,-10.8
PB2015.4399.3_50,-9.0
PB2015.4399.3_51,-12.8
PB2015.4399.3_52,-12.7
PB2015.4399.3_53,-13.0
PB2015.4399.3_54,-19.7
PB2015.4399.3_55,-15.3
PB2015.4399.3_56,-11.9
PB2015.4399.3_57,-10.1
PB2015.10800.1_11,-28.8
PB2015.10800.1_10,-21.9
PB2015.6270.3_18,-34.2
PB2015.7587.7_30,-7.8
PB2015.13582.2_24,-14.4
PB2015.13582.2_27,-15.0
PB2015.13582.2_26,-24.6
PB2015.8778.1_1,-16.5
PB2015.1501.1_2,-33.6
PB2015.1501.1_3,-27.8
PB2015.9795.3_13,-9.5
PB2015.9795.3_12,-11.7
PB2015.1501.1_6,-21.3
PB2015.1501.1_7,-18.7
PB2015.1501.1_4,-27.6
PB2015.1501.1_5,-29.1
PB2015.1501.1_8,-30.1
PB2015.1501.1_9,-31.1
PB2015.10408.1_39,-15.6
PB2015.10545.2_18,-15.6
PB2015.4210.2_12,-15.5
PB2015.10545.2_19,-13.3
PB2015.2668.1_53,-23.2
PB2015.2668.1_52,-23.6
PB2015.2668.1_51,-29.0
PB2015.2668.1_50,-14.4
PB2015.2668.1_57,-11.7
PB2015.1053.3_1,-32.0
PB2015.1053.3_2,-24.1
PB2015.2668.1_54,-14.7
PB2015.2668.1_59,-19.1
PB2015.2668.1_58,-11.9
PB2015.1053.3_8,-18.5
PB2015.1053.3_9,-19.0
PB2015.4602.1_14,-20.2
PB2015.4210.2_14,-10.2
PB2015.10545.2_13,-18.3
PB2015.2695.3_133,-17.9
PB2015.2695.3_132,-18.4
PB2015.13919.3_9,-34.5
PB2015.2695.3_130,-17.9
PB2015.2695.3_137,-13.8
PB2015.2695.3_136,-12.8
PB2015.2695.3_135,-16.1
PB2015.2695.3_134,-17.0
PB2015.13919.3_3,-14.1
PB2015.13919.3_2,-30.5
PB2015.2695.3_139,-20.9
PB2015.10479.2_3,-29.4
PB2015.13919.3_7,-35.2
PB2015.10479.2_5,-23.7
PB2015.10479.2_6,-15.9
PB2015.13919.3_4,-30.5
PB2015.3864.2_11,-12.4
PB2015.3864.2_10,-13.0
PB2015.14275.2_8,-26.8
PB2015.14275.2_9,-23.8
PB2015.14275.2_6,-8.9
PB2015.14275.2_7,-7.0
PB2015.14275.2_4,-25.1
PB2015.14275.2_5,-11.0
PB2015.14275.2_2,-25.8
PB2015.14275.2_3,-18.1
PB2015.14275.2_0,-31.1
PB2015.14275.2_1,-27.3
PB2015.10638.1_8,-27.9
PB2015.10638.1_9,-31.1
PB2015.8600.1_2,-24.7
PB2015.10638.1_4,-21.0
PB2015.10638.1_5,-22.1
PB2015.10638.1_6,-27.5
PB2015.10638.1_7,-27.6
PB2015.10638.1_0,-31.6
PB2015.10638.1_1,-30.6
PB2015.10638.1_2,-34.5
PB2015.10638.1_3,-26.6
PB2015.11403.2_7,-8.3
PB2015.292.3_24,-14.7
PB2015.292.3_25,-13.9
PB2015.292.3_20,-8.9
PB2015.292.3_21,-7.9
PB2015.292.3_22,-9.5
PB2015.292.3_23,-14.7
PB2015.2847.25_28,-16.2
PB2015.2847.25_29,-19.6
PB2015.525.8_22,-17.8
PB2015.525.8_23,-16.2
PB2015.525.8_20,-17.1
PB2015.525.8_21,-16.4
PB2015.525.8_24,-17.9
PB2015.16719.1_56,-15.1
PB2015.16719.1_57,-14.1
PB2015.10291.14_7,-13.4
PB2015.11091.1_8,-20.7
PB2015.499.1_35,-14.0
PB2015.2525.1_32,-18.5
PB2015.4999.3_18,-24.0
PB2015.4999.3_19,-25.6
PB2015.4999.3_12,-21.5
PB2015.4999.3_13,-23.3
PB2015.4999.3_10,-27.3
PB2015.4999.3_11,-24.1
PB2015.4999.3_16,-21.5
PB2015.4999.3_17,-15.4
PB2015.4999.3_14,-25.9
PB2015.4999.3_15,-26.5
PB2015.11697.1_10,-14.3
PB2015.7676.5_0,-19.4
PB2015.9627.9_229,-12.8
PB2015.9627.9_228,-18.4
PB2015.9627.9_227,-21.2
PB2015.9627.9_226,-14.7
PB2015.9627.9_225,-17.7
PB2015.9627.9_224,-15.9
PB2015.9627.9_223,-23.1
PB2015.9627.9_222,-27.3
PB2015.9627.9_221,-19.9
PB2015.9627.9_220,-20.5
PB2015.367.2_5,-36.2
PB2015.367.2_4,-27.7
PB2015.367.2_7,-31.5
PB2015.367.2_6,-44.4
PB2015.367.2_1,-36.2
PB2015.367.2_0,-36.8
PB2015.367.2_3,-33.6
PB2015.856.19_29,-7.3
PB2015.367.2_9,-31.1
PB2015.10595.1_29,-28.9
PB2015.2368.1_15,-13.3
PB2015.6521.4_4,-18.7
PB2015.6521.4_5,-16.5
PB2015.6521.4_6,-18.2
PB2015.13743.2_30,-18.4
PB2015.6521.4_0,-10.6
PB2015.499.1_38,-17.7
PB2015.6521.4_2,-8.5
PB2015.6521.4_3,-13.4
PB2015.499.1_39,-16.9
PB2015.6521.4_8,-19.9
PB2015.6521.4_9,-12.8
PB2015.11871.1_0,-13.0
PB2015.11871.1_1,-14.6
PB2015.11871.1_2,-15.0
PB2015.11871.1_3,-18.0
PB2015.11871.1_4,-14.4
PB2015.11871.1_5,-9.7
PB2015.9611.1_0,-18.9
PB2015.9611.1_1,-16.1
PB2015.13356.5_62,-8.9
PB2015.13356.5_61,-5.2
PB2015.13356.5_60,-3.3
PB2015.11490.1_3,-28.7
PB2015.11490.1_2,-31.3
PB2015.11490.1_1,-35.4
PB2015.11490.1_0,-29.8
PB2015.11490.1_7,-5.9
PB2015.11490.1_6,-9.3
PB2015.11490.1_5,-13.0
PB2015.11490.1_4,-14.4
PB2015.11490.1_9,-14.5
PB2015.11490.1_8,-6.1
PB2015.2955.2_37,-10.6
PB2015.10595.1_20,-27.6
PB2015.1182.1_5,-19.3
PB2015.10595.1_27,-19.8
PB2015.1182.1_7,-24.2
PB2015.1182.1_6,-29.5
PB2015.1182.1_1,-26.6
PB2015.1182.1_0,-32.7
PB2015.1182.1_3,-27.8
PB2015.10595.1_26,-30.9
PB2015.15871.1_23,-25.9
PB2015.15871.1_22,-21.8
PB2015.15871.1_21,-15.8
PB2015.15871.1_20,-19.2
PB2015.15871.1_27,-21.5
PB2015.15871.1_26,-19.0
PB2015.15871.1_25,-28.9
PB2015.15871.1_24,-32.8
PB2015.6665.1_47,-27.9
PB2015.4745.6_8,-25.8
PB2015.15871.1_29,-22.3
PB2015.15871.1_28,-25.8
PB2015.6665.1_43,-33.4
PB2015.6665.1_42,-35.1
PB2015.6665.1_41,-25.7
PB2015.6665.1_40,-20.5
PB2015.6090.2_17,-21.3
PB2015.6090.2_16,-14.1
PB2015.6090.2_15,-14.5
PB2015.6090.2_14,-16.9
PB2015.6090.2_13,-12.9
PB2015.6090.2_12,-17.8
PB2015.6090.2_11,-19.7
PB2015.6090.2_10,-18.8
PB2015.6090.2_18,-18.0
PB2015.11253.1_41,-24.0
PB2015.11253.1_40,-25.0
PB2015.7613.4_9,-6.2
PB2015.14376.2_12,-11.7
PB2015.927.6_1,-8.9
PB2015.13065.2_2,-19.1
PB2015.13065.2_3,-18.2
PB2015.13065.2_0,-23.1
PB2015.14376.2_11,-11.2
PB2015.14588.11_16,-14.7
PB2015.13065.2_7,-21.9
PB2015.13065.2_4,-19.4
PB2015.13065.2_5,-23.4
PB2015.13953.3_3,-18.0
PB2015.927.6_6,-27.8
PB2015.13953.3_2,-17.6
PB2015.13567.1_2,-32.9
PB2015.3545.3_10,-18.9
PB2015.15180.1_35,-21.9
PB2015.15180.1_34,-21.2
PB2015.15180.1_33,-17.2
PB2015.15180.1_32,-16.2
PB2015.15180.1_31,-18.8
PB2015.15180.1_30,-28.6
PB2015.7173.1_3,-19.1
PB2015.7173.1_2,-17.7
PB2015.7173.1_1,-20.4
PB2015.7173.1_0,-23.4
PB2015.7173.1_7,-8.8
PB2015.7173.1_6,-13.9
PB2015.7173.1_5,-13.8
PB2015.7173.1_4,-22.8
PB2015.7173.1_9,-14.1
PB2015.13953.3_6,-14.4
PB2015.13567.1_3,-17.3
PB2015.12526.1_4,-16.8
PB2015.1498.7_1,-16.7
PB2015.14303.2_8,-15.4
PB2015.14303.2_9,-15.7
PB2015.10866.4_10,-22.2
PB2015.10866.4_11,-30.2
PB2015.7828.1_0,-17.8
PB2015.7828.1_1,-12.0
PB2015.10866.4_14,-35.8
PB2015.10866.4_15,-31.4
PB2015.13842.3_6,-14.9
PB2015.7828.1_5,-9.1
PB2015.10866.4_18,-23.1
PB2015.10866.4_19,-20.7
PB2015.7828.1_8,-14.5
PB2015.7828.1_9,-9.2
PB2015.14588.11_15,-18.3
PB2015.12526.1_5,-14.3
PB2015.13877.1_34,-24.2
PB2015.13877.1_35,-25.5
PB2015.13877.1_36,-30.0
PB2015.13877.1_37,-24.0
PB2015.13877.1_30,-40.0
PB2015.13877.1_31,-38.3
PB2015.13877.1_32,-33.0
PB2015.8693.3_15,-17.8
PB2015.2554.1_40,-6.4
PB2015.2554.1_41,-10.5
PB2015.13877.1_38,-19.2
PB2015.13877.1_39,-12.3
PB2015.1830.1_13,-45.3
PB2015.406.4_38,-16.2
PB2015.1830.1_11,-21.1
PB2015.1830.1_10,-25.2
PB2015.1830.1_17,-29.8
PB2015.1830.1_16,-33.9
PB2015.1830.1_15,-32.3
PB2015.1830.1_14,-32.0
PB2015.406.4_31,-10.4
PB2015.406.4_30,-7.8
PB2015.1830.1_19,-28.2
PB2015.406.4_32,-11.0
PB2015.406.4_35,-20.3
PB2015.406.4_34,-30.0
PB2015.406.4_37,-16.8
PB2015.406.4_36,-15.9
PB2015.13258.2_0,-22.3
PB2015.13842.3_4,-19.4
PB2015.11056.1_1,-19.7
PB2015.11056.1_0,-26.5
PB2015.11056.1_3,-18.8
PB2015.11056.1_2,-18.6
PB2015.11056.1_5,-15.4
PB2015.11056.1_4,-15.9
PB2015.14588.11_10,-9.7
PB2015.11895.2_12,-12.6
PB2015.13842.3_2,-27.1
PB2015.15584.9_28,-30.5
PB2015.15584.9_29,-24.5
PB2015.14588.11_11,-10.7
PB2015.15584.9_20,-21.5
PB2015.15584.9_21,-19.4
PB2015.15584.9_22,-23.1
PB2015.15584.9_23,-19.0
PB2015.15584.9_24,-21.0
PB2015.15584.9_25,-20.9
PB2015.15584.9_26,-22.9
PB2015.15584.9_27,-20.2
PB2015.13558.2_10,-3.5
PB2015.13461.1_7,-19.3
PB2015.13842.3_3,-25.0
PB2015.11583.2_5,-20.1
PB2015.11583.2_4,-12.4
PB2015.11583.2_7,-13.6
PB2015.11583.2_6,-13.9
PB2015.11583.2_1,-13.6
PB2015.11583.2_0,-21.8
PB2015.11583.2_3,-4.5
