transcript,length,
NM_001278537,639,
NM_001002031,474,
NM_006278,990,
NM_001193388,2052,
NM_001002034,780,
NM_001172624,4353,
NM_001002036,1296,
NM_001351663,1344,
NM_001324080,477,
NM_001324081,1068,
NM_001300818,537,
NM_001324085,702,
NM_001324086,948,
NM_001324087,768,
NM_001324088,885,
NM_001324089,768,
NM_001352766,1320,
NM_032969,4014,
NM_032968,4044,
NM_001291556,1521,
NM_005257,1788,
NM_001199659,1335,
NM_001278267,15624,
NM_032961,3123,
NM_032960,1203,
NM_032963,282,
NM_032962,330,
NM_001199653,543,
NM_001290309,2412,
NM_032966,984,
NM_003176,2931,
NM_003177,1908,
NM_003174,5367,
NM_003175,345,
NM_003172,903,
NM_003173,1239,
NM_001128848,4842,
NM_001128849,5040,
NM_001128846,4851,
NM_001128847,4845,
NM_001128844,4944,
NM_001128845,4854,
NM_133376,2397,
NM_001128840,6486,
NM_003179,942,
NM_001329689,342,
NM_002889,492,
NM_002888,687,
NM_001098398,3702,
NM_001329688,459,
NM_001257360,2640,
NM_002884,555,
NM_002887,1983,
NM_001257363,1818,
NM_002881,621,
NM_002880,1947,
NM_002883,1764,
NM_002882,606,
NM_138959,1575,
NM_001184834,2901,
NM_001323683,615,
NM_001323682,615,
NM_001323681,615,
NM_001323680,615,
NM_001323685,615,
NM_001323684,615,
NM_001077269,1512,
NM_001003680,2877,
NM_001081559,735,
NM_001469,1830,
NM_001081552,327,
NM_001081550,4782,
NM_001081551,204,
NM_001352368,2622,
NM_001352369,1965,
NM_001352360,2583,
NM_001352361,2349,
NM_001352362,2571,
NM_001352363,2535,
NM_001352364,2640,
NM_001352365,2571,
NM_001352366,2535,
NM_001352367,2640,
NM_001003789,690,
NM_001003788,1122,
NM_001010897,198,
NM_001003681,1806,
NM_001010891,747,
NM_001010893,1317,
NM_013235,4125,
NM_001282739,2748,
NM_001003785,414,
NM_001010898,2184,
NM_001003787,1296,
NM_001003786,1185,
NM_001303116,1245,
NM_014008,1884,
NM_014009,1296,
NM_014007,1404,
NM_014004,2463,
NM_014005,2529,
NM_014002,2151,
NM_014003,3684,
NM_014000,3405,
NM_001323541,978,
NM_015351,669,
NM_000331,369,
NM_015353,792,
NM_015352,1167,
NM_015355,2220,
NM_013232,576,
NM_001164245,1296,
NM_015359,1479,
NM_015358,2820,
NM_018584,237,
NM_000333,2679,
NM_001178109,1983,
NM_002229,1044,
NM_002228,996,
NM_007100,210,
NM_001166139,1809,
NM_001009954,3384,
NM_002221,2841,
NM_001166135,1857,
NM_002223,8106,
NM_001166137,3405,
NM_002225,1281,
NM_002224,8016,
NM_002227,3465,
NM_001166133,5931,
NM_001004060,3804,
NM_001004063,936,
NM_001004065,2847,
NM_001276392,501,
NM_001323029,1038,
NM_001323028,1275,
NM_001323027,1332,
NM_001303119,255,
NM_001276393,489,
NM_001323022,444,
NM_001323020,675,
NM_001009955,1086,
NM_001163561,747,
NM_007109,1038,
NM_018055,1044,
NM_018054,2412,
NM_001255988,666,
NM_007108,357,
NM_018051,3201,
NM_018050,1296,
NM_018053,1188,
NM_018052,2349,
NM_001177701,561,
NM_001352585,1284,
NM_001352586,1401,
NM_001255981,1128,
NM_001255986,738,
NM_018058,1986,
NM_001352582,1269,
NM_001352583,1251,
NM_001242690,1692,
NM_001321785,7050,
NM_001349209,1482,
NM_001349208,2820,
NM_001349207,2871,
NM_001349206,2781,
NM_001349205,2781,
NM_001349204,2781,
NM_001349203,2778,
NM_001349202,2778,
NM_001349201,2751,
NM_001349200,2751,
NM_001349087,1980,
NM_001012969,804,
NM_001256187,291,
NM_001256186,279,
NM_001256185,489,
NM_001350530,1809,
NM_001256183,7992,
NM_001256182,7992,
NM_001256188,477,
NM_001142352,1401,
NM_001142353,1578,
NM_001142350,891,
NM_001142351,1590,
NM_001142356,858,
NM_001142354,1548,
NM_001142355,1053,
NM_001349086,2046,
NM_001353187,828,
NM_014911,2886,
NM_001353185,828,
NM_001353184,966,
NM_014914,2415,
NM_001353182,906,
NM_014916,4512,
NM_014917,1317,
NM_014918,2409,
NM_001012967,5121,
NM_001353189,939,
NM_001353188,906,
NM_001005332,2337,
NM_001005333,2505,
NM_001005336,2556,
NM_001005337,2181,
NM_001005335,1371,
NM_176801,1989,
NM_001005339,546,
NM_176805,486,
NM_176806,267,
NM_003824,627,
NM_003825,636,
NM_001002814,3852,
NM_001032409,1245,
NM_001002812,2910,
NM_001002810,522,
NM_001002811,3399,
NM_001206977,1431,
NM_001171625,630,
NM_001171626,576,
NM_001171627,525,
NM_001330540,678,
NM_001330541,1473,
NM_001206971,5724,
NM_001330543,957,
NM_003820,852,
NM_001171628,444,
NM_001171629,576,
NM_001206979,1431,
NM_001206978,1278,
NM_001288649,1230,
NM_001288648,1230,
NM_001167917,534,
NM_001288643,1536,
NM_001288642,1695,
NM_001288640,1305,
NM_001288647,1230,
NM_001294328,768,
NM_001288645,1230,
NM_001288644,1473,
NM_001354609,2304,
NM_001354608,1407,
NM_001350989,969,
NM_001354601,1464,
NM_001354600,1431,
NM_001350980,1635,
NM_001354602,738,
NM_001350986,729,
NM_001350987,1137,
NM_001354607,1512,
NM_001354606,1560,
NM_001149,3006,
NM_001148,11874,
NM_004319,3885,
NM_004318,2277,
NM_001286555,618,
NM_001286554,2067,
NM_001286556,1317,
NM_001141,2031,
NM_001140,1989,
NM_004311,549,
NM_001142,576,
NM_004317,1047,
NM_004316,711,
NM_001147,1491,
NM_001146,1497,
NM_001330092,1419,
NM_001201472,2724,
NM_001330090,909,
NM_001330091,1410,
NM_001201477,1557,
NM_001201476,393,
NM_001001547,1419,
NM_001201474,399,
NM_001001549,1647,
NM_001001548,1419,
NM_001201479,3147,
NM_001201478,1383,
NM_001320646,723,
NM_001320644,7239,
NM_001320642,1701,
NM_001320643,2352,
NM_001320640,1542,
NM_001320641,1689,
NM_001320648,723,
NM_182931,5577,
NM_025029,477,
NM_001146327,1584,
NM_001146326,1584,
NM_025027,2379,
NM_001166163,3273,
NM_001146322,1251,
NM_001146321,1323,
NM_001161587,2022,
NM_031314,921,
NM_024993,1557,
NM_024991,2346,
NM_001278473,1290,
NM_024997,2049,
NM_024996,2256,
NM_001161580,1080,
NM_001289114,1035,
NM_001289115,708,
NM_001284348,1866,
NM_001289117,708,
NM_001289110,618,
NM_001289111,732,
NM_001289112,1728,
NM_001289113,1035,
NM_001284342,534,
NM_001284343,1017,
NM_001284340,3909,
NM_001284341,1872,
NM_001289119,1632,
NM_001166161,3891,
NM_001287602,2775,
NM_001287603,2433,
NM_001287600,2862,
NM_001287601,702,
NM_198881,1899,
NM_198880,2331,
NM_198883,1308,
NM_198882,3780,
NM_198889,7059,
NM_001320970,2757,
NM_024032,1944,
NM_001166160,4125,
NM_007129,1599,
NM_001320972,525,
NM_145274,777,
NM_145276,1431,
NM_001320973,1203,
NM_145270,1716,
NM_145271,831,
NM_145272,525,
NM_145273,999,
NM_001320974,1167,
NM_145278,408,
NM_145279,807,
NM_001320975,897,
NM_197941,3354,
NM_001184789,3822,
NM_001184788,3933,
NM_001166167,996,
NM_001320976,696,
NM_003498,267,
NM_001184783,930,
NM_001184782,2277,
NM_001184781,1644,
NM_022123,2706,
NM_001184787,3960,
NM_001184786,4023,
NM_001184785,4062,
NM_001320978,1710,
NM_001142634,942,
NM_130851,1227,
NM_001320415,294,
NM_130852,771,
NM_003494,6243,
NM_021828,1779,
NM_021821,972,
NM_021822,1155,
NM_021823,615,
NM_021824,1053,
NM_021825,765,
NM_021826,2295,
NM_021827,1689,
NM_001171632,1437,
NM_078468,945,
NM_078469,879,
NM_145858,1050,
NM_145859,639,
NM_001322226,2415,
NM_001318876,1029,
NM_001318877,309,
NM_001318875,1140,
NM_001318872,1356,
NM_001318873,450,
NM_001318870,333,
NM_001318871,1266,
NM_001100916,1308,
NM_001100917,747,
NM_001100915,2781,
NM_001100912,1125,
NM_001100913,2715,
NM_001318878,1500,
NM_001318879,1110,
NM_001171887,648,
NM_001289022,642,
NM_001297659,990,
NM_001286234,1494,
NM_001286235,1494,
NM_001286236,1236,
NM_001286237,1608,
NM_001286230,2067,
NM_001286233,1563,
NM_003251,441,
NM_001286238,1419,
NM_001286239,1425,
NM_001321898,1665,
NM_001321899,1782,
NM_001321894,1650,
NM_001321895,1650,
NM_001321896,1689,
NM_001321897,3078,
NM_001321890,1767,
NM_001321891,1641,
NM_001321892,3417,
NM_001321893,1641,
NM_001297657,1839,
NM_001204418,1404,
NM_001204419,1362,
NM_001204416,1473,
NM_001204417,1458,
NM_001204414,1311,
NM_001204415,1089,
NM_001204410,2148,
NM_001105243,3306,
NM_001102576,237,
NM_001105244,4398,
NM_001105247,2808,
NM_001105249,2847,
NM_001105248,3021,
NM_001349998,1185,
NM_138733,1254,
NM_017739,1983,
NM_001242868,1773,
NM_005989,981,
NM_005118,756,
NM_001195016,558,
NM_001145310,756,
NM_005988,219,
NM_020880,1800,
NM_001289938,1812,
NM_020882,3855,
NM_020884,5952,
NM_014616,3534,
NM_020889,2115,
NM_020888,3285,
NM_001289930,1341,
NM_001289931,1341,
NM_001289936,3723,
NM_001289937,3168,
NM_001289934,1959,
NM_001287184,1179,
NM_181879,798,
NM_001287181,1002,
NM_001287183,1350,
NM_001287182,1320,
NM_181872,1686,
NM_181873,1923,
NM_181871,1632,
NM_181876,1344,
NM_181877,1845,
NM_181874,2769,
NM_033389,4272,
NM_014611,16791,
NM_058187,1326,
NM_058186,708,
NM_001256870,240,
NM_058182,177,
NM_058181,504,
NM_058180,969,
NM_001198721,1236,
NM_001198726,918,
NM_005891,1194,
NM_170708,1905,
NM_170709,1395,
NM_030639,1644,
NM_187841,1077,
NM_000778,1560,
NM_030632,6747,
NM_030631,900,
NM_030630,2367,
NM_030637,2619,
NM_030636,1710,
NM_030634,1413,
NM_003259,2775,
NM_021599,1701,
NM_001354157,2337,
NM_001203250,1590,
NM_006272,279,
NM_001311168,507,
NM_001270879,201,
NM_001011725,963,
NM_001270876,579,
NM_001270875,576,
NM_001270873,762,
NM_001354150,2397,
NM_001329402,645,
NM_001329401,762,
NM_001193380,1602,
NM_213568,318,
NM_001354152,2313,
NM_001351669,1626,
NM_001011722,3723,
NM_004126,222,
NM_021046,564,
NM_021047,1500,
NM_021044,1191,
NM_021045,1740,
NM_173518,2046,
NM_173519,1065,
NM_173514,1686,
NM_173515,1668,
NM_173516,1563,
NM_173517,531,
NM_173510,840,
NM_001172623,4227,
NM_173512,1155,
NM_021049,375,
NM_006279,1128,
NM_001286722,3354,
NM_001002035,222,
NM_001199099,3375,
NM_001199098,3390,
NM_201552,939,
NM_201553,939,
NM_201554,2208,
NM_201555,840,
NM_201557,840,
NM_001199091,2946,
NM_201559,2022,
NM_001243936,990,
NM_001172626,2331,
NM_001199097,3459,
NM_001199096,3351,
NM_003378,1848,
NM_175913,390,
NM_175910,1941,
NM_175911,939,
NM_175914,1359,
NM_001348706,243,
NM_003370,1143,
NM_003371,2520,
NM_003372,594,
NM_003373,3201,
NM_003374,852,
NM_001193636,396,
NM_139323,741,
NM_003377,624,
NM_001042522,1233,
NM_001042520,288,
NM_001042521,288,
NM_001042529,1695,
NM_021602,378,
NM_198141,2745,
NM_004444,2964,
NM_144668,3450,
NM_144669,801,
NM_198147,1407,
NM_144664,1020,
NM_144665,1479,
NM_144660,981,
NM_144661,465,
NM_144662,771,
NM_144663,654,
NM_001323543,1014,
NM_001353879,840,
NM_001353878,1083,
NM_001293557,3042,
NM_001318038,1062,
NM_020319,1326,
NM_020318,5376,
NM_001197293,2034,
NM_001197295,2034,
NM_001197294,2055,
NM_001197297,1365,
NM_001197296,1932,
NM_020311,1089,
NM_020310,1749,
NM_020313,939,
NM_020312,957,
NM_020315,891,
NM_020314,3159,
NM_020317,873,
NM_001113361,2082,
NM_001113363,1242,
NM_001317214,1893,
NM_001317211,969,
NM_001317210,969,
NM_001323606,777,
NM_012102,4701,
NM_001253676,561,
NM_022780,1176,
NM_052890,1731,
NM_130855,4518,
NM_201436,309,
NM_001318036,363,
NM_001267048,2781,
NM_001318037,315,
NM_001135937,1314,
NM_201433,1431,
NM_001278444,1956,
NM_001278445,1836,
NM_001278442,957,
NM_001278443,1899,
NM_201432,1251,
NM_001283116,831,
NM_001303618,1011,
NM_001199654,624,
NM_001318469,1224,
NM_201431,1110,
NM_001303613,342,
NM_001318467,819,
NM_201430,726,
NM_001303614,2079,
NM_001303615,993,
NM_022788,1029,
NM_001267043,906,
NM_003412,1344,
NM_018918,2796,
NM_018216,2346,
NM_018215,1320,
NM_018214,1575,
NM_018212,1713,
NM_018211,2037,
NM_018210,1173,
NM_018219,2550,
NM_018218,3744,
NM_001267044,951,
NM_201438,777,
NM_001320704,6132,
NM_001318799,693,
NM_001318798,2061,
NM_001039481,777,
NM_001318793,2355,
NM_001318792,2499,
NM_001318791,2355,
NM_001318790,2355,
NM_001318797,396,
NM_001318796,2355,
NM_001318795,2355,
NM_032667,1197,
NM_001291951,1926,
NM_001291950,753,
NM_001291953,1785,
NM_001291952,1800,
NM_032569,1662,
NM_001291954,1761,
NM_001291957,1728,
NM_001256346,3456,
NM_032565,621,
NM_001256348,3174,
NM_032567,1293,
NM_001261384,1026,
NM_001261383,1074,
NM_001261382,1350,
NM_032563,279,
NM_032562,588,
NM_001271643,2814,
NM_001271641,1170,
NM_001271640,303,
NM_001271644,2685,
NM_001271649,519,
NM_001353340,1335,
NM_001353345,5901,
NM_001353344,2769,
NM_001353346,1305,
NM_001353349,1341,
NM_001348700,1236,
NM_033382,1179,
NM_001134335,1890,
NM_033380,5076,
NM_033386,2592,
NM_033387,852,
NM_012351,963,
NM_033388,1860,
NM_012353,945,
NM_001134337,447,
NM_001134336,2277,
NM_001354372,3186,
NM_032389,1566,
NM_001195102,1482,
NM_001195101,411,
NM_001195100,429,
NM_001195107,2436,
NM_005005,540,
NM_005006,2184,
NM_005007,1146,
NM_005008,387,
NM_032380,2340,
NM_032383,3015,
NM_001195108,2394,
NM_032385,1002,
NM_213611,1086,
NM_032387,3732,
NM_213613,2106,
NM_080476,1308,
NM_080474,1218,
NM_080475,1179,
NM_003178,1437,
NM_177422,1881,
NM_177423,3558,
NM_054013,1692,
NM_001316975,618,
NM_001316974,636,
NM_001789,1575,
NM_001788,1314,
NM_001316973,573,
NM_001316972,975,
NM_001783,681,
NM_001782,1080,
NM_001781,600,
NM_001780,717,
NM_001316979,1536,
NM_001786,894,
NM_001785,441,
NM_001784,2229,
NM_174887,447,
NM_174886,759,
NM_001129728,3576,
NM_001129729,3576,
NM_174881,372,
NM_001129727,3576,
NM_174889,510,
NM_001348060,1014,
NM_001206843,897,
NM_001348063,1947,
NM_001348064,1719,
NM_001348065,1341,
NM_001348066,1137,
NM_020787,2598,
NM_001011885,1158,
NM_206840,2253,
NM_001011880,1368,
NM_001354370,2226,
NM_001354373,3183,
NM_001206840,1443,
NM_001354375,3102,
NM_001228,1491,
NM_001354377,3078,
NM_001354376,3093,
NM_020782,1518,
NM_001352518,2181,
NM_001257362,1755,
NM_001206846,5679,
NM_001300730,642,
NM_001355023,1713,
NM_004661,1794,
NM_001300733,702,
NM_001355026,1434,
NM_004666,1542,
NM_025228,1656,
NM_001300737,624,
NM_001300738,357,
NM_025227,1377,
NM_025224,1770,
NM_025225,1446,
NM_001017397,183,
NM_001017396,1152,
NM_001017395,1962,
NM_025221,753,
NM_001229,1251,
NM_000784,1596,
NM_000785,1527,
NM_000786,1530,
NM_000787,1854,
NM_000780,1515,
NM_000781,1566,
NM_000782,1545,
NM_000783,1494,
NM_000788,783,
NM_000789,3921,
NM_016434,3660,
NM_198207,1014,
NM_198205,645,
NM_198204,735,
NM_016309,1005,
NM_016308,687,
NM_001276457,1515,
NM_016306,1077,
NM_016305,234,
NM_016304,492,
NM_016303,315,
NM_016302,1329,
NM_001276451,792,
NM_016300,2439,
NM_001354955,468,
NM_015963,1734,
NM_015960,822,
NM_001354956,468,
NM_015966,1152,
NM_015967,2424,
NM_015964,531,
NM_001354952,468,
NM_015969,393,
NM_001354959,183,
NM_001354958,465,
NM_153809,5481,
NM_001015508,969,
NM_001015509,543,
NM_001164182,1119,
NM_138447,1503,
NM_138446,705,
NM_138445,1002,
NM_138444,978,
NM_138443,837,
NM_001164181,1209,
NM_138441,1569,
NM_138440,2022,
NM_001161354,1752,
NM_007313,3450,
NM_007310,666,
NM_001350708,2412,
NM_001350709,2412,
NM_007314,3549,
NM_007315,2253,
NM_001350705,2415,
NM_001350706,2415,
NM_001253701,4104,
NM_001164459,633,
NM_001164458,633,
NM_001351259,507,
NM_001351258,732,
NM_001308251,1506,
NM_001308257,645,
NM_001308256,1071,
NM_001351251,813,
NM_001351250,813,
NM_001308259,1269,
NM_001349811,456,
NM_001351255,813,
NM_001351254,813,
NM_001351257,813,
NM_001351256,813,
NM_002926,4131,
NM_001257282,750,
NM_002924,1464,
NM_002925,504,
NM_002922,630,
NM_002923,636,
NM_002921,888,
NM_006995,1572,
NM_002928,609,
NM_002929,1692,
NM_001080521,1524,
NM_001080522,4863,
NM_001080523,1029,
NM_001080524,549,
NM_001080525,294,
NM_001080527,6351,
NM_001080528,615,
NM_001080529,1452,
NM_014502,1515,
NM_022163,840,
NM_001163151,1260,
NM_001163150,1314,
NM_001163152,1125,
NM_001030287,546,
NM_001030288,1203,
NM_001177519,999,
NM_025241,1326,
NM_001007214,558,
NM_001010895,2139,
NM_001001323,3531,
NM_001001325,294,
NM_001001329,1578,
NM_152447,2160,
NM_152446,3285,
NM_152445,2133,
NM_152444,1056,
NM_152443,951,
NM_152442,1290,
NM_152441,1257,
NM_152440,1338,
NM_152449,894,
NM_152448,663,
NM_001281932,3432,
NM_001281933,3471,
NM_001171988,1011,
NM_001010892,2151,
NM_001352283,1476,
NM_001352282,1536,
NM_001352281,1536,
NM_001352280,1539,
NM_001352287,1194,
NM_001352286,1380,
NM_001352285,1437,
NM_001352284,1440,
NM_001257133,174,
NM_001352288,1194,
NM_001257135,267,
NM_001257134,174,
NM_001257137,2712,
NM_001123376,828,
NM_001256668,3636,
NM_001267728,789,
NM_152999,1473,
NM_152998,2124,
NM_001204160,1857,
NM_152995,2736,
NM_152994,2310,
NM_001267721,1128,
NM_152996,918,
NM_001267727,1578,
NM_001256667,3741,
NM_152992,348,
NM_001161426,1389,
NM_001352139,1704,
NM_001352138,1704,
NM_001127610,1257,
NM_001127617,1095,
NM_001127615,1932,
NM_001077351,1320,
NM_001077350,1710,
NM_001352133,1812,
NM_001352132,1812,
NM_001352135,1806,
NM_001352134,1812,
NM_001352137,1776,
NM_001352136,1776,
NM_001098635,2982,
NM_001098634,1782,
NM_001098637,1500,
NM_001098630,1497,
NM_001004742,924,
NM_001098632,771,
NM_001098638,2127,
NM_015140,1935,
NM_015141,1056,
NM_015143,1161,
NM_015144,2850,
NM_015146,1290,
NM_015147,2274,
NM_015148,3972,
NM_015149,2412,
NM_001004297,987,
NM_001004298,2100,
NM_014001,2073,
NM_001005163,957,
NM_001005162,1008,
NM_001005161,945,
NM_001005160,951,
NM_001005164,978,
NM_001178111,708,
NM_001178110,1893,
NM_001178113,1407,
NM_001178112,708,
NM_001178115,984,
NM_001178117,939,
NM_001178116,1491,
NM_194439,699,
NM_194434,750,
NM_194435,510,
NM_194436,1455,
NM_194431,444,
NM_015354,5250,
NM_001282779,2991,
NM_001282778,1410,
NM_003652,1926,
NM_001329649,1383,
NM_001329648,1383,
NM_001351320,822,
NM_001282771,3093,
NM_001282770,2601,
NM_001282773,1275,
NM_001282772,3522,
NM_001282775,1434,
NM_001282774,2859,
NM_001329643,1605,
NM_001282776,2775,
NM_001353668,1191,
NM_001353669,1191,
NM_001353662,1227,
NM_001321411,1413,
NM_001353660,1560,
NM_001353661,1317,
NM_001353666,1227,
NM_001353667,1257,
NM_001353664,1227,
NM_001353665,1227,
NM_001258040,1410,
NM_021209,3075,
NM_001258042,1350,
NM_001354039,1842,
NM_021200,732,
NM_001354033,1692,
NM_021202,663,
NM_021203,816,
NM_021204,786,
NM_021205,777,
NM_001354034,1869,
NM_001354035,1839,
NM_001322859,738,
NM_017964,1386,
NM_001099218,3480,
NM_001099219,192,
NM_001308076,1698,
NM_001322855,1221,
NM_001308075,636,
NM_003650,438,
NM_001322856,1221,
NM_138732,4929,
NM_001321708,3174,
NM_001308070,297,
NM_001142679,2790,
NM_001142678,2679,
NM_001142673,1554,
NM_001142675,1182,
NM_001142674,1182,
NM_001142677,1089,
NM_001142676,1257,
NM_001286455,1218,
NM_001286456,1086,
NM_001286457,3261,
NM_001286451,540,
NM_002220,1386,
NM_001281482,1212,
NM_001281483,1086,
NM_001286458,3012,
NM_001166136,3687,
NM_001281484,882,
NM_001330355,771,
NM_001001665,1119,
NM_001330357,1017,
NM_001330356,447,
NM_001330351,738,
NM_001330350,540,
NM_001001662,2100,
NM_001001663,390,
NM_001330359,1602,
NM_001001669,2028,
NM_001166131,1752,
NM_002226,3717,
NM_181472,429,
NM_181471,1065,
NM_145331,1821,
NM_145330,165,
NM_182923,1722,
NM_145332,1557,
NM_182925,4092,
NM_182924,2715,
NM_002122,768,
NM_002123,786,
NM_001317115,1392,
NM_004508,855,
NM_004509,2070,
NM_001278585,2817,
NM_004502,654,
NM_004503,708,
NM_004500,882,
NM_004501,2421,
NM_004506,1611,
NM_004507,843,
NM_004504,1689,
NM_001270533,513,
NM_198439,1839,
NM_001004067,3669,
NM_001242631,345,
NM_198433,1212,
NM_198434,1212,
NM_198435,1212,
NM_198436,1212,
NM_198437,1212,
NM_006609,1860,
NM_001177996,789,
NM_001199828,270,
NM_001199829,1164,
NM_001270539,543,
NM_001351249,813,
NM_181291,1746,
NM_181296,87,
NM_001163560,1416,
NM_001159380,1092,
NM_001159387,1521,
NM_001159388,1443,
NM_001305456,453,
NM_001305457,372,
NM_001305455,453,
NM_001317112,417,
NM_001285486,387,
NM_001285485,789,
NM_001317113,1392,
NM_001177802,498,
NM_018057,870,
NM_001346081,834,
NM_001346082,834,
NM_001346083,3123,
NM_001352588,1374,
NM_001136026,1107,
NM_001136025,1893,
NM_001136024,4425,
NM_001136023,1122,
NM_001136022,2895,
NM_001136021,2706,
NM_001136020,1452,
NM_006591,1401,
NM_001136029,4785,
NM_001024593,1383,
NM_001255982,744,
NM_001024596,1470,
NM_001255983,744,
NM_001347684,831,
NM_001024599,381,
NM_001024598,561,
NM_001347681,363,
NM_001255980,1128,
NM_001347682,189,
NM_033147,1794,
NM_033140,1599,
NM_033141,3357,
NM_033142,498,
NM_001346559,1692,
NM_001346557,645,
NM_033148,1704,
NM_001199663,528,
NM_001346550,2268,
NM_001255987,666,
NM_001255984,672,
NM_001170574,1170,
NM_080678,558,
NM_080679,4890,
NM_080670,975,
NM_080671,666,
NM_080672,1680,
NM_001199660,867,
NM_080675,1140,
NM_080676,1278,
NM_080677,270,
NM_001319206,1518,
NM_001319207,1707,
NM_001319204,804,
NM_001319205,804,
NM_001345913,594,
NM_001319200,2106,
NM_001319201,282,
NM_001145951,147,
NM_001007156,1839,
NM_001319209,306,
NM_001277128,1491,
NM_001277129,3015,
NM_002871,372,
NM_001277120,384,
NM_001349304,966,
NM_001110533,1257,
NM_001277127,1332,
NM_002697,2301,
NM_001190441,429,
NM_001190440,7014,
NM_001321029,1176,
NM_001190442,2088,
NM_001190447,1245,
NM_001349303,681,
NM_001323069,1848,
NM_002876,408,
NM_001257392,648,
NM_130472,4638,
NM_001812,2832,
NM_130470,4767,
NM_001810,1800,
NM_001817,735,
NM_001816,1050,
NM_001815,759,
NM_001814,1392,
NM_001819,2034,
NM_001818,972,
NM_001248008,2055,
NM_001248005,1623,
NM_001248004,1767,
NM_001248007,1878,
NM_001248006,2235,
NM_001248001,801,
NM_001248000,807,
NM_001248003,1800,
NM_001248002,1869,
NM_001199664,429,
NM_001161009,927,
NM_001099411,4188,
NM_020928,3648,
NM_020929,1923,
NM_020922,5403,
NM_020923,7065,
NM_020920,6909,
NM_020921,6402,
NM_020927,1260,
NM_020924,1326,
NM_020925,3672,
NM_001271762,1482,
NM_016141,1572,
NM_001348300,1479,
NM_001348303,1407,
NM_016142,939,
NM_016145,321,
NM_001348304,1398,
NM_016147,1161,
NM_016146,660,
NM_001348309,1305,
NM_001348308,1305,
NM_001276293,1752,
NM_001276294,1548,
NM_001164115,1050,
NM_001159601,615,
NM_001319977,1545,
NM_001319978,2031,
NM_017814,1440,
NM_017815,1092,
NM_017816,1140,
NM_017817,705,
NM_017810,1458,
NM_017811,717,
NM_017812,684,
NM_017813,1080,
NM_002984,279,
NM_017818,1383,
NM_017819,1212,
NM_001127221,6786,
NM_016497,387,
NM_016496,741,
NM_016495,882,
NM_016494,462,
NM_016492,561,
NM_016491,1272,
NM_016490,360,
NM_002985,276,
NM_016499,264,
NM_016498,501,
NM_001012516,693,
NM_001012514,663,
NM_001012515,1290,
NM_001012512,426,
NM_001012513,417,
NM_001012511,588,
NM_001130407,666,
NM_001130406,666,
NM_001130405,666,
NM_001130404,666,
NM_001351019,1743,
NM_001351018,1758,
NM_001351013,2337,
NM_001351012,2337,
NM_001351011,2337,
NM_001351010,2337,
NM_001351017,2337,
NM_001351016,2337,
NM_001351015,2337,
NM_001351014,2337,
NM_001306168,726,
NM_001306161,498,
NM_017646,1404,
NM_001290079,1347,
NM_001290078,2931,
