transcript,double_bases,double_percent,single_bases,single_percent
PB2015.847.1_33,58.0,0.58,42.0,0.42
PB2015.847.1_32,54.0,0.54,46.0,0.46
PB2015.847.1_35,56.0,0.56,44.0,0.44
PB2015.847.1_34,52.0,0.52,48.0,0.48
PB2015.847.1_37,58.0,0.58,42.0,0.42
PB2015.847.1_36,54.0,0.54,46.0,0.46
PB2015.847.1_39,48.0,0.48,52.0,0.52
PB2015.847.1_38,58.0,0.58,42.0,0.42
PB2015.2225.3_10,58.0,0.58,42.0,0.42
PB2015.2225.3_11,56.0,0.56,44.0,0.44
PB2015.5984.1_9,62.0,0.62,38.0,0.38
PB2015.5984.1_8,50.0,0.5,50.0,0.5
PB2015.5984.1_3,54.0,0.54,46.0,0.46
PB2015.5984.1_2,60.0,0.6,40.0,0.4
PB2015.5984.1_1,64.0,0.64,36.0,0.36
PB2015.5984.1_0,68.0,0.68,32.0,0.32
PB2015.5984.1_7,48.0,0.48,52.0,0.52
PB2015.5984.1_6,42.0,0.42,58.0,0.58
PB2015.5984.1_5,48.0,0.48,52.0,0.52
PB2015.5984.1_4,44.0,0.44,56.0,0.56
PB2015.14883.12_44,54.0,0.54,46.0,0.46
PB2015.14883.12_45,50.0,0.5,50.0,0.5
PB2015.14883.12_42,50.0,0.5,50.0,0.5
PB2015.14883.12_43,54.0,0.54,46.0,0.46
PB2015.14883.12_40,56.0,0.56,44.0,0.44
PB2015.14883.12_41,54.0,0.54,46.0,0.46
PB2015.2197.4_9,58.0,0.58,42.0,0.42
PB2015.2197.4_8,62.0,0.62,38.0,0.38
PB2015.2197.4_3,68.0,0.68,32.0,0.32
PB2015.2197.4_2,58.0,0.58,42.0,0.42
PB2015.2197.4_1,66.0,0.66,34.0,0.34
PB2015.2197.4_0,70.0,0.7,30.0,0.3
PB2015.2197.4_7,64.0,0.64,36.0,0.36
PB2015.2197.4_6,56.0,0.56,44.0,0.44
PB2015.2197.4_5,54.0,0.54,46.0,0.46
PB2015.2197.4_4,60.0,0.6,40.0,0.4
PB2015.15838.2_170,64.0,0.64,36.0,0.36
PB2015.15838.2_171,58.0,0.58,42.0,0.42
PB2015.15838.2_172,60.0,0.6,40.0,0.4
PB2015.15838.2_173,54.0,0.54,46.0,0.46
PB2015.15838.2_174,58.0,0.58,42.0,0.42
PB2015.15838.2_175,52.0,0.52,48.0,0.48
PB2015.15838.2_176,52.0,0.52,48.0,0.48
PB2015.15838.2_177,54.0,0.54,46.0,0.46
PB2015.15838.2_178,58.0,0.58,42.0,0.42
PB2015.15838.2_179,56.0,0.56,44.0,0.44
PB2015.1402.1_5,58.0,0.58,42.0,0.42
PB2015.3332.1_10,48.0,0.48,52.0,0.52
PB2015.1402.1_6,58.0,0.58,42.0,0.42
PB2015.1078.1_93,54.0,0.54,46.0,0.46
PB2015.1078.1_92,54.0,0.54,46.0,0.46
PB2015.1078.1_91,48.0,0.48,52.0,0.52
PB2015.1078.1_90,56.0,0.56,44.0,0.44
PB2015.16124.1_6,64.0,0.64,36.0,0.36
PB2015.16124.1_7,60.0,0.6,40.0,0.4
PB2015.16124.1_4,62.0,0.62,38.0,0.38
PB2015.16124.1_5,60.0,0.6,40.0,0.4
PB2015.16124.1_2,62.0,0.62,38.0,0.38
PB2015.16124.1_3,60.0,0.6,40.0,0.4
PB2015.16124.1_0,64.0,0.64,36.0,0.36
PB2015.16124.1_1,74.0,0.74,26.0,0.26
PB2015.16642.9_59,52.0,0.52,48.0,0.48
PB2015.16642.9_58,52.0,0.52,48.0,0.48
PB2015.16642.9_51,52.0,0.52,48.0,0.48
PB2015.16642.9_50,44.0,0.44,56.0,0.56
PB2015.16642.9_53,60.0,0.6,40.0,0.4
PB2015.16642.9_52,48.0,0.48,52.0,0.52
PB2015.16642.9_55,62.0,0.62,38.0,0.38
PB2015.16642.9_54,64.0,0.64,36.0,0.36
PB2015.16642.9_57,60.0,0.6,40.0,0.4
PB2015.16642.9_56,58.0,0.58,42.0,0.42
PB2015.14655.3_20,54.0,0.54,46.0,0.46
PB2015.15838.2_87,56.0,0.56,44.0,0.44
PB2015.15838.2_86,56.0,0.56,44.0,0.44
PB2015.15838.2_85,54.0,0.54,46.0,0.46
PB2015.15838.2_84,58.0,0.58,42.0,0.42
PB2015.15838.2_83,54.0,0.54,46.0,0.46
PB2015.15838.2_82,50.0,0.5,50.0,0.5
PB2015.15838.2_81,48.0,0.48,52.0,0.52
PB2015.9965.2_18,50.0,0.5,50.0,0.5
PB2015.9965.2_17,56.0,0.56,44.0,0.44
PB2015.9965.2_16,50.0,0.5,50.0,0.5
PB2015.9965.2_15,42.0,0.42,58.0,0.58
PB2015.9965.2_14,46.0,0.46,54.0,0.54
PB2015.9965.2_13,42.0,0.42,58.0,0.58
PB2015.9965.2_12,48.0,0.48,52.0,0.52
PB2015.15838.2_89,58.0,0.58,42.0,0.42
PB2015.15838.2_88,62.0,0.62,38.0,0.38
PB2015.16181.1_9,52.0,0.52,48.0,0.48
PB2015.16181.1_8,52.0,0.52,48.0,0.48
PB2015.16181.1_5,58.0,0.58,42.0,0.42
PB2015.16181.1_4,64.0,0.64,36.0,0.36
PB2015.16181.1_7,56.0,0.56,44.0,0.44
PB2015.16181.1_6,52.0,0.52,48.0,0.48
PB2015.16181.1_1,66.0,0.66,34.0,0.34
PB2015.16181.1_0,66.0,0.66,34.0,0.34
PB2015.16181.1_3,68.0,0.68,32.0,0.32
PB2015.16181.1_2,66.0,0.66,34.0,0.34
PB2015.2673.1_26,56.0,0.56,44.0,0.44
PB2015.2673.1_27,60.0,0.6,40.0,0.4
PB2015.2673.1_24,54.0,0.54,46.0,0.46
PB2015.2673.1_25,52.0,0.52,48.0,0.48
PB2015.2673.1_22,50.0,0.5,50.0,0.5
PB2015.2673.1_23,60.0,0.6,40.0,0.4
PB2015.2673.1_20,50.0,0.5,50.0,0.5
PB2015.2673.1_21,50.0,0.5,50.0,0.5
PB2015.2673.1_28,50.0,0.5,50.0,0.5
PB2015.2673.1_29,64.0,0.64,36.0,0.36
PB2015.1733.3_15,62.0,0.62,38.0,0.38
PB2015.1733.3_14,52.0,0.52,48.0,0.48
PB2015.1733.3_17,66.0,0.66,34.0,0.34
PB2015.1733.3_16,52.0,0.52,48.0,0.48
PB2015.1733.3_11,52.0,0.52,48.0,0.48
PB2015.1733.3_10,54.0,0.54,46.0,0.46
PB2015.1733.3_13,56.0,0.56,44.0,0.44
PB2015.1733.3_12,56.0,0.56,44.0,0.44
PB2015.1733.3_19,66.0,0.66,34.0,0.34
PB2015.1733.3_18,64.0,0.64,36.0,0.36
PB2015.6294.2_1,64.0,0.64,36.0,0.36
PB2015.6294.2_0,58.0,0.58,42.0,0.42
PB2015.6294.2_2,68.0,0.68,32.0,0.32
PB2015.2766.7_307,60.0,0.6,40.0,0.4
PB2015.2766.7_306,56.0,0.56,44.0,0.44
PB2015.2766.7_305,52.0,0.52,48.0,0.48
PB2015.2766.7_304,60.0,0.6,40.0,0.4
PB2015.2766.7_303,58.0,0.58,42.0,0.42
PB2015.2766.7_302,52.0,0.52,48.0,0.48
PB2015.2766.7_301,66.0,0.66,34.0,0.34
PB2015.2766.7_300,60.0,0.6,40.0,0.4
PB2015.2766.7_309,46.0,0.46,54.0,0.54
PB2015.2766.7_308,50.0,0.5,50.0,0.5
PB2015.763.3_8,62.0,0.62,38.0,0.38
PB2015.763.3_9,64.0,0.64,36.0,0.36
PB2015.1053.3_4,42.0,0.42,58.0,0.58
PB2015.1053.3_5,42.0,0.42,58.0,0.58
PB2015.1053.3_6,40.0,0.4,60.0,0.6
PB2015.1053.3_7,44.0,0.44,56.0,0.56
PB2015.1053.3_0,64.0,0.64,36.0,0.36
PB2015.1053.3_1,46.0,0.46,54.0,0.54
PB2015.1053.3_2,42.0,0.42,58.0,0.58
PB2015.1053.3_3,38.0,0.38,62.0,0.62
PB2015.1053.3_8,48.0,0.48,52.0,0.52
PB2015.1053.3_9,58.0,0.58,42.0,0.42
PB2015.2695.3_133,56.0,0.56,44.0,0.44
PB2015.2695.3_132,52.0,0.52,48.0,0.48
PB2015.2695.3_131,64.0,0.64,36.0,0.36
PB2015.2695.3_130,58.0,0.58,42.0,0.42
PB2015.2695.3_137,60.0,0.6,40.0,0.4
PB2015.2695.3_136,62.0,0.62,38.0,0.38
PB2015.2695.3_135,62.0,0.62,38.0,0.38
PB2015.2695.3_134,58.0,0.58,42.0,0.42
PB2015.2695.3_139,66.0,0.66,34.0,0.34
PB2015.2695.3_138,68.0,0.68,32.0,0.32
PB2015.9436.2_2,68.0,0.68,32.0,0.32
PB2015.8460.1_52,52.0,0.52,48.0,0.48
PB2015.8460.1_51,50.0,0.5,50.0,0.5
PB2015.8460.1_50,52.0,0.52,48.0,0.48
PB2015.292.3_20,54.0,0.54,46.0,0.46
PB2015.4999.3_18,56.0,0.56,44.0,0.44
PB2015.4999.3_19,60.0,0.6,40.0,0.4
PB2015.4999.3_12,54.0,0.54,46.0,0.46
PB2015.4999.3_13,56.0,0.56,44.0,0.44
PB2015.4999.3_10,62.0,0.62,38.0,0.38
PB2015.4999.3_11,58.0,0.58,42.0,0.42
PB2015.4999.3_16,60.0,0.6,40.0,0.4
PB2015.4999.3_17,66.0,0.66,34.0,0.34
PB2015.4999.3_14,58.0,0.58,42.0,0.42
PB2015.4999.3_15,64.0,0.64,36.0,0.36
PB2015.6521.4_4,50.0,0.5,50.0,0.5
PB2015.6521.4_5,60.0,0.6,40.0,0.4
PB2015.6521.4_6,62.0,0.62,38.0,0.38
PB2015.6521.4_7,70.0,0.7,30.0,0.3
PB2015.6521.4_0,50.0,0.5,50.0,0.5
PB2015.6521.4_1,58.0,0.58,42.0,0.42
PB2015.6521.4_2,52.0,0.52,48.0,0.48
PB2015.6521.4_3,52.0,0.52,48.0,0.48
PB2015.6521.4_8,62.0,0.62,38.0,0.38
PB2015.6521.4_9,52.0,0.52,48.0,0.48
PB2015.856.19_20,48.0,0.48,52.0,0.52
PB2015.2955.2_34,60.0,0.6,40.0,0.4
PB2015.2955.2_31,64.0,0.64,36.0,0.36
PB2015.1182.1_1,62.0,0.62,38.0,0.38
PB2015.1182.1_0,62.0,0.62,38.0,0.38
PB2015.1182.1_2,60.0,0.6,40.0,0.4
PB2015.2955.2_33,64.0,0.64,36.0,0.36
PB2015.6665.1_49,62.0,0.62,38.0,0.38
PB2015.6665.1_48,60.0,0.6,40.0,0.4
PB2015.6665.1_47,62.0,0.62,38.0,0.38
PB2015.6665.1_46,60.0,0.6,40.0,0.4
PB2015.6665.1_45,60.0,0.6,40.0,0.4
PB2015.6665.1_44,66.0,0.66,34.0,0.34
PB2015.6665.1_43,66.0,0.66,34.0,0.34
PB2015.6665.1_42,62.0,0.62,38.0,0.38
PB2015.6665.1_41,62.0,0.62,38.0,0.38
PB2015.6665.1_40,62.0,0.62,38.0,0.38
PB2015.6090.2_13,60.0,0.6,40.0,0.4
PB2015.6090.2_12,56.0,0.56,44.0,0.44
PB2015.6090.2_11,56.0,0.56,44.0,0.44
PB2015.6090.2_10,48.0,0.48,52.0,0.52
PB2015.13953.3_1,66.0,0.66,34.0,0.34
PB2015.13953.3_0,60.0,0.6,40.0,0.4
PB2015.13953.3_2,60.0,0.6,40.0,0.4
PB2015.15180.1_31,58.0,0.58,42.0,0.42
PB2015.15180.1_30,68.0,0.68,32.0,0.32
PB2015.7173.1_3,52.0,0.52,48.0,0.48
PB2015.7173.1_2,52.0,0.52,48.0,0.48
PB2015.7173.1_1,58.0,0.58,42.0,0.42
PB2015.7173.1_0,56.0,0.56,44.0,0.44
PB2015.7173.1_7,52.0,0.52,48.0,0.48
PB2015.7173.1_6,60.0,0.6,40.0,0.4
PB2015.7173.1_5,50.0,0.5,50.0,0.5
PB2015.7173.1_4,54.0,0.54,46.0,0.46
PB2015.7173.1_9,58.0,0.58,42.0,0.42
PB2015.7173.1_8,58.0,0.58,42.0,0.42
PB2015.10866.4_10,56.0,0.56,44.0,0.44
PB2015.10866.4_11,64.0,0.64,36.0,0.36
PB2015.7828.1_0,56.0,0.56,44.0,0.44
PB2015.7828.1_1,54.0,0.54,46.0,0.46
PB2015.10866.4_14,64.0,0.64,36.0,0.36
PB2015.10866.4_15,56.0,0.56,44.0,0.44
PB2015.7828.1_4,58.0,0.58,42.0,0.42
PB2015.7828.1_5,62.0,0.62,38.0,0.38
PB2015.10866.4_18,74.0,0.74,26.0,0.26
PB2015.10866.4_19,66.0,0.66,34.0,0.34
PB2015.7828.1_8,64.0,0.64,36.0,0.36
PB2015.7828.1_9,60.0,0.6,40.0,0.4
PB2015.13877.1_34,48.0,0.48,52.0,0.52
PB2015.13877.1_35,46.0,0.46,54.0,0.54
PB2015.13877.1_36,40.0,0.4,60.0,0.6
PB2015.13877.1_37,32.0,0.32,68.0,0.68
PB2015.13877.1_30,62.0,0.62,38.0,0.38
PB2015.13877.1_31,68.0,0.68,32.0,0.32
PB2015.13877.1_32,56.0,0.56,44.0,0.44
PB2015.13877.1_33,58.0,0.58,42.0,0.42
PB2015.13877.1_38,34.0,0.34,66.0,0.66
PB2015.13877.1_39,32.0,0.32,68.0,0.68
PB2015.15584.9_28,50.0,0.5,50.0,0.5
PB2015.15584.9_29,48.0,0.48,52.0,0.52
PB2015.15584.9_20,72.0,0.72,28.0,0.28
PB2015.15584.9_21,68.0,0.68,32.0,0.32
PB2015.15584.9_22,68.0,0.68,32.0,0.32
PB2015.15584.9_23,70.0,0.7,30.0,0.3
PB2015.15584.9_24,56.0,0.56,44.0,0.44
PB2015.15584.9_25,56.0,0.56,44.0,0.44
PB2015.15584.9_26,50.0,0.5,50.0,0.5
PB2015.15584.9_27,52.0,0.52,48.0,0.48
PB2015.1279.3_21,50.0,0.5,50.0,0.5
PB2015.13079.1_20,52.0,0.52,48.0,0.48
PB2015.1279.3_20,50.0,0.5,50.0,0.5
PB2015.1279.3_22,50.0,0.5,50.0,0.5
PB2015.9914.4_1,60.0,0.6,40.0,0.4
PB2015.9914.4_0,64.0,0.64,36.0,0.36
PB2015.9914.4_3,56.0,0.56,44.0,0.44
PB2015.9914.4_2,54.0,0.54,46.0,0.46
PB2015.2766.7_149,44.0,0.44,56.0,0.56
PB2015.2766.7_148,56.0,0.56,44.0,0.44
PB2015.8808.2_38,60.0,0.6,40.0,0.4
PB2015.8808.2_39,58.0,0.58,42.0,0.42
PB2015.8808.2_32,46.0,0.46,54.0,0.54
PB2015.8808.2_33,52.0,0.52,48.0,0.48
PB2015.8808.2_30,70.0,0.7,30.0,0.3
PB2015.8808.2_31,58.0,0.58,42.0,0.42
PB2015.2766.7_145,58.0,0.58,42.0,0.42
PB2015.8808.2_37,60.0,0.6,40.0,0.4
PB2015.2766.7_147,66.0,0.66,34.0,0.34
PB2015.8808.2_35,52.0,0.52,48.0,0.48
PB2015.500.6_32,44.0,0.44,56.0,0.56
PB2015.500.6_33,44.0,0.44,56.0,0.56
PB2015.500.6_30,48.0,0.48,52.0,0.52
PB2015.500.6_31,48.0,0.48,52.0,0.52
PB2015.3361.1_0,60.0,0.6,40.0,0.4
PB2015.3361.1_1,56.0,0.56,44.0,0.44
PB2015.3361.1_2,58.0,0.58,42.0,0.42
PB2015.3361.1_3,42.0,0.42,58.0,0.58
PB2015.3361.1_4,50.0,0.5,50.0,0.5
PB2015.13258.2_22,60.0,0.6,40.0,0.4
PB2015.13258.2_21,46.0,0.46,54.0,0.54
PB2015.13258.2_20,64.0,0.64,36.0,0.36
PB2015.8525.8_52,48.0,0.48,52.0,0.52
PB2015.15524.1_7,62.0,0.62,38.0,0.38
PB2015.15524.1_6,62.0,0.62,38.0,0.38
PB2015.15524.1_5,64.0,0.64,36.0,0.36
PB2015.15524.1_4,54.0,0.54,46.0,0.46
PB2015.15524.1_3,60.0,0.6,40.0,0.4
PB2015.15524.1_2,68.0,0.68,32.0,0.32
PB2015.4074.5_58,66.0,0.66,34.0,0.34
PB2015.15524.1_0,70.0,0.7,30.0,0.3
PB2015.4074.5_56,60.0,0.6,40.0,0.4
PB2015.4074.5_57,64.0,0.64,36.0,0.36
PB2015.4074.5_54,60.0,0.6,40.0,0.4
PB2015.4074.5_55,66.0,0.66,34.0,0.34
PB2015.4074.5_52,60.0,0.6,40.0,0.4
PB2015.4074.5_53,68.0,0.68,32.0,0.32
PB2015.4074.5_50,50.0,0.5,50.0,0.5
PB2015.15524.1_8,66.0,0.66,34.0,0.34
PB2015.860.2_13,64.0,0.64,36.0,0.36
PB2015.1078.1_22,64.0,0.64,36.0,0.36
PB2015.1078.1_23,62.0,0.62,38.0,0.38
PB2015.1078.1_20,60.0,0.6,40.0,0.4
PB2015.1078.1_21,60.0,0.6,40.0,0.4
PB2015.13300.4_0,56.0,0.56,44.0,0.44
PB2015.3282.2_19,46.0,0.46,54.0,0.54
PB2015.1078.1_27,60.0,0.6,40.0,0.4
PB2015.8551.1_1,50.0,0.5,50.0,0.5
PB2015.13300.4_2,58.0,0.58,42.0,0.42
PB2015.13852.3_24,58.0,0.58,42.0,0.42
PB2015.13852.3_25,56.0,0.56,44.0,0.44
PB2015.13852.3_26,64.0,0.64,36.0,0.36
PB2015.13852.3_27,58.0,0.58,42.0,0.42
PB2015.13852.3_20,62.0,0.62,38.0,0.38
PB2015.13852.3_21,58.0,0.58,42.0,0.42
PB2015.13852.3_22,50.0,0.5,50.0,0.5
PB2015.13852.3_23,60.0,0.6,40.0,0.4
PB2015.8551.1_8,52.0,0.52,48.0,0.48
PB2015.3282.2_10,54.0,0.54,46.0,0.46
PB2015.4670.2_15,44.0,0.44,56.0,0.56
PB2015.4670.2_14,38.0,0.38,62.0,0.62
PB2015.4670.2_11,46.0,0.46,54.0,0.54
PB2015.4670.2_10,52.0,0.52,48.0,0.48
PB2015.4670.2_13,46.0,0.46,54.0,0.54
PB2015.4670.2_12,46.0,0.46,54.0,0.54
PB2015.3292.2_12,48.0,0.48,52.0,0.52
PB2015.3292.2_13,58.0,0.58,42.0,0.42
PB2015.3292.2_10,52.0,0.52,48.0,0.48
PB2015.3292.2_11,52.0,0.52,48.0,0.48
PB2015.13518.4_20,64.0,0.64,36.0,0.36
PB2015.13518.4_21,66.0,0.66,34.0,0.34
PB2015.13518.4_22,68.0,0.68,32.0,0.32
PB2015.13518.4_23,66.0,0.66,34.0,0.34
PB2015.13518.4_24,62.0,0.62,38.0,0.38
PB2015.13518.4_25,62.0,0.62,38.0,0.38
PB2015.24.2_61,54.0,0.54,46.0,0.46
PB2015.24.2_60,54.0,0.54,46.0,0.46
PB2015.24.2_63,52.0,0.52,48.0,0.48
PB2015.24.2_62,60.0,0.6,40.0,0.4
PB2015.24.2_65,70.0,0.7,30.0,0.3
PB2015.24.2_64,66.0,0.66,34.0,0.34
PB2015.24.2_67,56.0,0.56,44.0,0.44
PB2015.24.2_66,68.0,0.68,32.0,0.32
PB2015.24.2_69,60.0,0.6,40.0,0.4
PB2015.24.2_68,58.0,0.58,42.0,0.42
PB2015.543.1_32,58.0,0.58,42.0,0.42
PB2015.543.1_33,54.0,0.54,46.0,0.46
PB2015.543.1_30,60.0,0.6,40.0,0.4
PB2015.543.1_31,56.0,0.56,44.0,0.44
PB2015.543.1_36,54.0,0.54,46.0,0.46
PB2015.543.1_37,62.0,0.62,38.0,0.38
PB2015.543.1_34,60.0,0.6,40.0,0.4
PB2015.543.1_35,56.0,0.56,44.0,0.44
PB2015.543.1_38,62.0,0.62,38.0,0.38
PB2015.543.1_39,62.0,0.62,38.0,0.38
PB2015.15857.2_7,64.0,0.64,36.0,0.36
PB2015.10361.2_9,58.0,0.58,42.0,0.42
PB2015.9795.3_5,52.0,0.52,48.0,0.48
PB2015.9795.3_4,52.0,0.52,48.0,0.48
PB2015.9795.3_7,50.0,0.5,50.0,0.5
PB2015.9795.3_6,46.0,0.46,54.0,0.54
PB2015.9795.3_1,54.0,0.54,46.0,0.46
PB2015.9795.3_0,54.0,0.54,46.0,0.46
PB2015.9795.3_3,52.0,0.52,48.0,0.48
PB2015.9795.3_2,48.0,0.48,52.0,0.52
PB2015.15857.2_8,60.0,0.6,40.0,0.4
PB2015.9795.3_8,54.0,0.54,46.0,0.46
PB2015.6560.1_18,56.0,0.56,44.0,0.44
PB2015.6560.1_19,54.0,0.54,46.0,0.46
PB2015.6560.1_12,42.0,0.42,58.0,0.58
PB2015.6560.1_13,30.0,0.3,70.0,0.7
PB2015.6560.1_10,50.0,0.5,50.0,0.5
PB2015.6560.1_11,42.0,0.42,58.0,0.58
PB2015.6560.1_16,42.0,0.42,58.0,0.58
PB2015.6560.1_17,54.0,0.54,46.0,0.46
PB2015.6560.1_14,34.0,0.34,66.0,0.66
PB2015.6560.1_15,42.0,0.42,58.0,0.58
PB2015.12298.2_13,66.0,0.66,34.0,0.34
PB2015.12298.2_12,62.0,0.62,38.0,0.38
PB2015.12298.2_11,58.0,0.58,42.0,0.42
PB2015.12298.2_10,48.0,0.48,52.0,0.52
PB2015.12298.2_17,56.0,0.56,44.0,0.44
PB2015.12298.2_16,52.0,0.52,48.0,0.48
PB2015.9479.3_18,62.0,0.62,38.0,0.38
PB2015.12298.2_14,62.0,0.62,38.0,0.38
PB2015.9479.3_16,58.0,0.58,42.0,0.42
PB2015.9479.3_17,58.0,0.58,42.0,0.42
PB2015.12298.2_19,56.0,0.56,44.0,0.44
PB2015.9479.3_15,60.0,0.6,40.0,0.4
PB2015.9479.3_12,64.0,0.64,36.0,0.36
PB2015.9479.3_13,58.0,0.58,42.0,0.42
PB2015.9479.3_10,56.0,0.56,44.0,0.44
PB2015.9479.3_11,56.0,0.56,44.0,0.44
PB2015.3616.1_11,64.0,0.64,36.0,0.36
PB2015.12392.2_28,58.0,0.58,42.0,0.42
PB2015.12392.2_27,54.0,0.54,46.0,0.46
PB2015.12392.2_26,62.0,0.62,38.0,0.38
PB2015.12392.2_25,60.0,0.6,40.0,0.4
PB2015.12392.2_24,52.0,0.52,48.0,0.48
PB2015.12392.2_23,50.0,0.5,50.0,0.5
PB2015.12392.2_22,54.0,0.54,46.0,0.46
PB2015.12392.2_21,54.0,0.54,46.0,0.46
PB2015.12392.2_20,44.0,0.44,56.0,0.56
PB2015.7430.2_3,64.0,0.64,36.0,0.36
PB2015.6560.1_58,76.0,0.76,24.0,0.24
PB2015.7430.2_6,56.0,0.56,44.0,0.44
PB2015.13618.26_0,62.0,0.62,38.0,0.38
PB2015.13618.26_3,54.0,0.54,46.0,0.46
PB2015.50.1_0,62.0,0.62,38.0,0.38
PB2015.50.1_1,62.0,0.62,38.0,0.38
PB2015.50.1_2,62.0,0.62,38.0,0.38
PB2015.50.1_3,68.0,0.68,32.0,0.32
PB2015.50.1_4,66.0,0.66,34.0,0.34
PB2015.50.1_5,60.0,0.6,40.0,0.4
PB2015.12543.4_178,62.0,0.62,38.0,0.38
PB2015.12543.4_179,66.0,0.66,34.0,0.34
PB2015.12543.4_170,60.0,0.6,40.0,0.4
PB2015.12543.4_171,58.0,0.58,42.0,0.42
PB2015.12543.4_172,60.0,0.6,40.0,0.4
PB2015.12543.4_173,54.0,0.54,46.0,0.46
PB2015.12543.4_174,50.0,0.5,50.0,0.5
PB2015.12543.4_175,64.0,0.64,36.0,0.36
PB2015.12543.4_176,62.0,0.62,38.0,0.38
PB2015.12543.4_177,68.0,0.68,32.0,0.32
PB2015.15533.5_15,64.0,0.64,36.0,0.36
PB2015.15533.5_14,64.0,0.64,36.0,0.36
PB2015.15533.5_13,60.0,0.6,40.0,0.4
PB2015.15533.5_12,56.0,0.56,44.0,0.44
PB2015.15533.5_11,60.0,0.6,40.0,0.4
PB2015.15533.5_10,66.0,0.66,34.0,0.34
PB2015.659.2_62,58.0,0.58,42.0,0.42
PB2015.659.2_63,46.0,0.46,54.0,0.54
PB2015.659.2_60,62.0,0.62,38.0,0.38
PB2015.659.2_61,66.0,0.66,34.0,0.34
PB2015.10120.1_8,42.0,0.42,58.0,0.58
PB2015.10120.1_9,42.0,0.42,58.0,0.58
PB2015.10120.1_0,50.0,0.5,50.0,0.5
PB2015.10120.1_1,56.0,0.56,44.0,0.44
